Id,TagName,Count,ExcerptPostId,WikiPostId
570,claws,3,27875,27874
573,squirrel,1,,
574,cat-food,8,,
577,sugar,1,,
580,puppy,10,,
581,boxes,1,,
582,shrimp,3,,
583,clothes,1,,
584,hydra,1,,
585,ethics,1,,
