Id,Reputation,CreationDate,DisplayName,LastAccessDate,Location,Views,UpVotes,DownVotes,AccountId
30,2943,2013-10-08T22:04:58.193,Jestep,2021-02-17T19:40:13.763,United States,98,40,8,49240
31,7769,2013-10-08T22:05:47.137,Monica Cellio,2019-12-02T00:10:31.390,codidact.com,532,807,24,505925
32,19723,2013-10-08T22:09:27.197,John Cavan,2017-04-30T00:33:00.727,"Toronto, Canada",1387,684,29,60210
33,101,2013-10-08T22:11:19.360,user88377,2013-10-28T18:40:19.727,,0,0,0,3115497
36,331,2013-10-08T22:13:20.073,Mike G,2021-02-02T22:16:59.863,"North Carolina, USA",40,14,2,1000547
37,101,2013-10-08T22:20:28.120,JeremyFromEarth,2014-01-26T16:23:38.513,Earth,0,1,0,81845
38,1206,2013-10-08T22:23:31.240,Brian Rushton,2017-09-24T12:49:59.157,"Philadelphia, PA",38,54,0,2092607
39,101,2013-10-08T22:25:08.337,Jacob,2014-04-29T04:14:51.353,"Virginia, USA",0,0,0,240181
40,191,2013-10-08T22:25:21.603,freiheit,2019-10-19T13:29:06.663,"Santa Rosa, CA",6,12,0,40142
41,981,2013-10-08T22:26:03.653,Taryn,2020-08-18T17:25:23.150,Arizona,347,25,12,188123
42,318,2013-10-08T22:26:06.593,rae1,2018-10-27T03:29:43.247,,8,37,1,1299883
44,1297,2013-10-08T22:29:44.000,Abdullah Shafique,2017-10-30T11:20:29.023,"Florida, United States",21,49,2,3008836
45,1,2013-10-08T22:32:47.823,jakeonaut,2013-10-08T22:32:47.823,"Tuscaloosa, AL",2,0,0,1424927
46,621,2013-10-08T22:32:48.513,MarkS,2020-10-28T22:01:07.413,,7,4,0,20684
47,2097,2013-10-08T22:32:57.620,ThomasH,2020-02-26T11:26:58.670,"Dublin, Ireland",101,251,24,302001
48,1760,2013-10-08T22:36:16.093,JohnB,2021-02-04T14:48:38.640,United States,48,61,6,2054034
49,101,2013-10-08T22:39:00.130,Michael0x2a,2021-02-03T01:21:04.567,United States,0,1,0,325384
50,199,2013-10-08T22:39:40.393,BentOnCoding,2013-11-30T22:11:39.837,"Denver, CO, United States",4,1,0,217701
51,457,2013-10-08T22:39:49.367,TildalWave,2016-03-31T23:57:16.647,Sancta Sedes,19,304,26,2211833
52,1692,2013-10-08T22:39:55.520,iKlsR,2019-12-30T06:22:36.410,North Quadrant,130,107,1,974885
53,7476,2013-10-08T22:41:27.537,Ash,2020-08-21T20:37:02.387,,582,806,106,507678
54,101,2013-10-08T22:49:28.520,perseverance,2014-04-22T02:49:43.300,,0,0,0,1475031
55,101,2013-10-08T23:00:46.410,John Bensin,2013-10-08T23:00:46.410,USA,0,0,0,2051749
56,888,2013-10-08T23:15:57.500,JohnFx,2020-08-30T02:53:09.187,United States,18,55,0,14543
57,8955,2013-10-08T23:17:23.537,Beofett,2020-04-08T12:14:09.023,Pennsylvania,349,325,23,336602
58,3026,2013-10-08T23:18:36.740,Baarn,2014-03-06T02:51:14.837,"Bremen, Germany",324,229,5,286643
59,181,2013-10-08T23:19:46.937,Yair,2016-04-27T23:28:53.033,,2,0,0,35756
60,101,2013-10-08T23:23:50.890,Severo Raz,2013-10-08T23:23:50.890,Germany,0,0,0,339411
61,101,2013-10-08T23:28:43.800,petervaz,2014-10-02T00:44:27.863,"Curitiba, Brazil",1,4,0,1026422
62,101,2013-10-08T23:36:18.280,Brant Bobby,2015-03-26T15:00:20.457,Canada,0,4,0,2929
63,101,2013-10-08T23:57:50.707,World Engineer,2014-11-26T01:12:18.857,,0,73,0,407160
64,101,2013-10-09T00:15:48.123,GioMac,2013-10-12T08:38:42.807,"Tbilisi, Georgia",0,1,0,402885
65,101,2013-10-09T00:18:30.837,asheeshr,2014-03-22T17:55:58.073,"Ann Arbor, MI, United States",0,1,0,1609527
66,3962,2013-10-09T00:32:27.697,woliveirajr,2021-02-21T19:56:17.117,Brazil,191,168,4,56155
67,131,2013-10-09T00:44:50.600,AvieRose,2019-02-09T16:56:24.680,Bromley,3,6,1,1862966
68,527,2013-10-09T00:45:30.560,Jeromy Anglim,2020-05-13T04:51:34.460,"Melbourne, Australia",10,16,0,60581
69,331,2013-10-09T00:54:23.257,Luc M,2020-08-18T00:07:52.030,"Laval, Canada",7,30,0,8214
70,1,2013-10-09T00:59:33.313,Andy,2016-05-03T04:10:44.943,,1,0,0,3139355
71,101,2013-10-09T01:09:03.307,Allydra,2017-10-12T18:26:17.703,,2,0,0,3327960
72,1,2013-10-09T01:23:43.320,jaredcohe,2013-12-29T18:42:09.927,,3,3,0,990418
73,101,2013-10-09T02:02:00.717,wax eagle,2014-05-21T12:56:42.223,"Lookout Mountain, GA",0,7,0,12878
74,273,2013-10-09T02:11:18.243,DarenW,2020-01-24T07:27:18.187,"Eureka, MT, USA",7,12,0,6259
75,745,2013-10-09T02:14:41.080,Wooble,2015-04-15T17:26:14.597,"Pittsburgh, PA",27,24,19,38549
76,101,2013-10-09T02:37:39.567,Nathan Wheeler,2013-10-09T02:37:39.567,"Bolivar, MO",0,0,0,66021
77,763,2013-10-09T02:43:12.307,Ricardo Acras,2018-09-11T18:51:58.727,Brazil,7,3,0,10232
78,101,2013-10-09T02:48:45.413,fassetar,2013-11-13T20:44:27.173,United States,0,0,0,1318742
79,682,2013-10-09T03:26:51.407,jmort253,2020-07-22T14:24:13.957,"Clackamas, OR",26,111,4,265671
80,1179,2013-10-09T03:27:25.510,fahad.hasan,2014-04-28T07:08:23.760,"Dhaka, Bangladesh",22,0,0,325454
81,101,2013-10-09T03:37:44.277,Jonathan Campbell,2014-01-06T03:22:20.920,Greater Philadelphia Area,0,0,0,38136
82,101,2013-10-09T03:39:38.050,Adam Lear,2020-12-01T06:24:50.000,"New York, NY",7,6,2,37099
83,101,2013-10-09T04:11:25.473,sundar - Remember Monica,2020-04-10T12:01:18.990,India,0,1,0,5142
84,121,2013-10-09T04:17:43.187,Nadav S.,2020-04-26T07:42:39.403,Israel,2,7,0,1082426
85,1311,2013-10-09T04:19:22.783,Mistu4u,2021-01-25T19:14:59.780,"Medellín - Antioquia, Colombia",58,26,2,1615706
88,730,2013-10-09T04:36:59.783,Cody Guldner,2018-09-12T03:36:05.370,"Urbana, IL",29,3,0,1586808
89,878,2013-10-09T05:19:23.000,Vixen Populi,2017-09-03T19:20:17.173,NL,109,109,4,2848082
90,527,2013-10-09T05:41:18.237,Nick,2018-11-10T11:36:13.960,"London, United Kingdom",19,25,1,262470
91,2085,2013-10-09T06:37:30.210,Ankit Sharma,2021-02-20T06:25:11.260,Shadowworld,411,159,5,1344292
92,101,2013-10-09T06:38:50.997,fuxia,2020-07-05T17:51:58.127,"Halle (Saale), Germany",0,3,0,113787
93,1040,2013-10-09T07:04:12.053,Salketer,2018-11-02T10:44:22.937,France,29,9,0,1776479
94,477,2013-10-09T07:09:27.603,martin,2017-10-17T14:35:58.733,,18,33,1,2000680
95,2050,2013-10-09T07:10:53.337,jonsca,2020-10-21T22:41:26.543,United States,63,488,11,325297
96,333,2013-10-09T07:12:02.310,Dan Herbert,2020-08-23T03:53:09.370,"San Francisco Bay Area, CA, USA",9,18,0,313
97,101,2013-10-09T07:17:00.043,Joetjah,2013-12-19T12:51:43.410,"Eindhoven, Netherlands",1,0,0,349810
98,153,2013-10-09T07:18:22.480,JJJ,2019-03-02T16:25:15.357,,0,2,0,235515
99,1439,2013-10-09T07:40:40.133,Lix,2020-12-24T09:04:36.627,Israel,61,105,3,268952
100,243,2013-10-09T07:45:34.867,Tobias Kienzler,2020-05-25T12:32:33.900,Switzerland,35,46,2,125888
101,1220,2013-10-09T08:20:59.540,Cucamonga,2021-02-14T01:58:17.343,"Portland, OR",130,138,51,10331
102,101,2013-10-09T08:33:27.243,rog,2013-10-25T05:16:55.340,"Seattle, WA",0,0,0,1893057
103,105,2013-10-09T08:34:11.187,wonea,2014-02-10T09:27:45.270,"Liverpool, United Kingdom",3,2,0,100647
104,159,2013-10-09T08:37:49.653,Gottlieb Notschnabel,2014-02-25T23:19:16.987,,2,6,0,2048514
105,911,2013-10-09T08:38:12.467,Tim Post,2020-10-14T13:52:43.640,,64,89,2,20808
106,101,2013-10-09T08:54:06.083,Sklivvz,2017-10-10T06:01:15.243,"Trento, Province of Trento, Italy",0,0,0,4623
107,800,2013-10-09T10:48:24.763,Jeni,2014-11-15T20:19:57.247,"New York, United States",31,57,0,1796376
108,101,2013-10-09T11:03:59.077,Oded,2018-10-27T22:18:49.357,"London, United Kingdom",4,0,0,1190
109,263,2013-10-09T11:41:03.363,Ryan Shripat,2017-05-12T12:31:17.920,Trinidad and Tobago,18,1,0,1457
110,1810,2013-10-09T11:57:30.053,Athari,2020-10-06T00:41:17.007,"Kazan, Russia",113,1539,14,110819
111,758,2013-10-09T12:11:19.157,Kevin Kunderman,2018-09-05T16:09:50.983,Canada,40,17,3,1529898
112,1284,2013-10-09T12:22:07.003,PeterJ,2021-02-28T02:01:46.293,"Hobart, Australia",66,1360,107,1750581
113,101,2013-10-09T12:35:33.037,samthebrand,2016-11-29T00:14:03.740,"New York, NY, USA",0,15,0,482412
114,349,2013-10-09T12:56:46.263,Iancovici,2018-07-18T12:59:55.833,,20,5,1,2115179
115,2107,2013-10-09T12:59:51.353,Robert Cartaino,2021-01-03T13:32:24.140,"Palm Bay, FL",99,31,46,34933
116,495,2013-10-09T13:01:57.400,Peter Grace,2018-09-07T22:28:38.630,"Pottstown, PA",56,5,0,490194
117,1595,2013-10-09T13:07:37.503,Kyle Brandt,2020-09-10T22:34:04.373,"Jensen Beach, FL, United States",34,11,0,37483
118,101,2013-10-09T13:13:55.487,zompz,2013-10-21T19:37:48.267,"Boston, MA",0,0,0,323252
119,143,2013-10-09T13:19:48.540,Bart Silverstrim,2020-04-03T20:51:09.573,Pennsylvania,0,0,0,28003
120,101,2013-10-09T13:19:52.557,Max,2013-10-09T13:19:52.557,"New York, NY, United States",0,0,0,64170
122,256,2013-10-09T13:31:32.507,Laura,2020-01-21T18:37:39.360,"New York, United States",8,6,0,463263
123,1228,2013-10-09T13:35:38.407,hairboat,2020-06-17T21:10:26.353,"Salt Lake City, UT",70,108,3,463168
124,100,2013-10-09T13:44:59.053,Joel Spolsky,2020-03-25T16:19:12.870,"New York, NY",9,1,1,4
125,101,2013-10-09T13:47:13.247,Gabe,2017-03-18T02:25:29.123,,0,1,0,5960
126,101,2013-10-09T13:51:27.077,Ladadadada,2014-06-11T13:31:05.197,"London, United Kingdom",0,15,0,73650
127,101,2013-10-09T13:56:34.663,EJC,2014-07-03T11:21:18.887,"Richmond, VA",2,18,0,199250
128,101,2013-10-09T14:06:06.093,Grace Note,2017-11-28T16:20:14.823,6,3,0,0,102159
129,8896,2013-10-09T14:33:45.710,JoshDM,2021-02-05T07:11:13.490,United States,1588,1508,28,961675
131,101,2013-10-09T14:52:32.933,Aaron Bertrand,2014-06-24T18:18:45.293,"Matthews, NC",2,2,0,24165
132,101,2013-10-09T14:55:56.423,SáT,2020-09-02T21:23:25.983,"Budapest, Hungary",0,94,0,220184
133,221,2013-10-09T14:59:45.730,gitsitgo,2020-01-15T16:55:18.533,Grassy Meadows,66,13,0,2090639
134,321,2013-10-09T14:59:57.240,Flavin,2019-04-21T22:09:10.520,,6,5,0,1348131
135,233,2013-10-09T15:33:07.623,Kezz,2020-11-05T15:25:36.097,United Kingdom,2,0,0,1739076
136,101,2013-10-09T15:35:48.270,Jon Ericson,2019-09-17T19:50:05.313,Downtown Burbank,52,4,0,1083
138,119,2013-10-09T15:51:17.753,Jim Jones,2015-12-14T20:51:57.523,,3,7,1,2141445
139,101,2013-10-09T15:57:48.013,Matt Sherman,2013-10-09T15:57:48.013,"New York, NY",1,0,0,26961
140,1056,2013-10-09T16:35:53.733,Patrick Sebastien,2014-11-24T01:09:53.770,"Halifax, Canada",165,29,1,2876976
141,101,2013-10-09T16:37:11.390,Shog9,2020-10-22T12:34:41.760,"Colorado, United States",9,1,0,620
142,101,2013-10-09T16:42:24.893,Neil Neyman,2013-12-03T17:03:37.607,Maryland,0,0,0,2335
143,101,2013-10-09T17:41:25.693,Jaydles,2017-08-07T17:51:13.027,"New York, NY, United States",0,7,0,140824
144,615,2013-10-09T18:11:42.543,nicolefurlan,2021-02-27T08:04:50.203,"Plymouth, MA, USA",14,4,0,716600
145,101,2013-10-09T18:46:57.140,Paul Fleming,2013-12-23T15:56:17.093,"Sunderland, United Kingdom",1,11,0,938863
146,101,2013-10-09T20:54:28.133,TomOnTime,2015-02-21T20:09:59.020,"Bloomfield, NJ, United States",0,0,0,27319
147,1547,2013-10-09T22:14:57.540,mattytommo,2019-11-18T09:25:39.747,"Harrogate, United Kingdom",39,231,1,1031342
148,101,2013-10-09T22:45:54.407,f.ardelian,2013-10-24T16:51:22.877,,0,0,0,229270
149,321,2013-10-10T04:29:09.173,Baked Potato,2020-11-15T00:27:49.783,United States,8,2,0,1643207
150,101,2013-10-10T10:27:18.957,balpha,2015-11-14T19:39:04.757,"Berlin, Germany",0,0,0,40051
151,101,2013-10-10T14:48:28.053,Jesse,2014-12-10T21:33:11.777,,0,7,0,85679
152,101,2013-10-10T16:56:04.580,Anurag Kalia,2013-12-03T22:02:32.307,"New Delhi, India",0,4,0,299173
153,1937,2013-10-10T18:50:24.023,Cuthbert,2020-03-19T14:00:13.517,New York,47,20,3,376470
154,885,2013-10-10T19:17:46.333,Gigazelle,2020-08-18T20:12:54.977,United States,28,43,1,1383683
155,101,2013-10-10T20:36:02.400,Jin,2013-12-02T20:59:34.910,"Raleigh, NC",0,0,0,21721
156,101,2013-10-10T22:17:55.673,Michaël Polla,2017-12-15T16:11:44.777,"Genève, Switzerland",0,1,0,2239633
157,101,2013-10-10T23:43:55.727,Wipqozn,2021-02-03T14:54:14.110,"Nova Scotia, Canada",0,3,0,300899
158,101,2013-10-11T03:32:54.567,Scott Goodgame,2017-12-09T09:46:44.690,"Dearborn, MI",0,1,0,2387925
159,7227,2013-10-11T17:08:18.053,Kate Paulk,2021-01-29T12:22:06.110,"Allentown, PA",528,250,0,531357
160,322,2013-10-11T18:06:40.093,Betsy Dupuis,2020-08-02T00:56:16.820,"Austin, TX",6,15,1,2008369
161,345,2013-10-11T19:18:33.557,Madara's Ghost,2019-05-10T11:47:04.557,Israel,47,43,0,466356
162,620,2013-10-11T20:05:26.647,Sam I am says Reinstate Monica,2020-02-28T17:03:36.187,,30,7,6,1138604
163,173,2013-10-11T20:20:27.243,Lson,2013-11-22T13:24:12.520,,5,1,0,2298473
164,2263,2013-10-11T23:43:19.497,symbol,2014-12-29T16:46:17.370,Canada,42,34,3,3364353
165,281,2013-10-12T03:07:14.680,Ben Brocka,2014-05-23T13:37:46.240,Iowa,7,1,0,465403
166,532,2013-10-12T03:17:25.710,Steven V,2018-10-29T01:45:03.910,"Richmond, VA, United States",5,7,1,93151
167,101,2013-10-12T03:39:58.607,ToxicFrog,2013-12-17T04:33:49.957,Ontario,0,3,0,3250816
168,101,2013-10-12T04:31:13.550,Mike Deck,2013-10-22T18:13:42.217,United States,0,0,0,946
169,603,2013-10-12T06:59:20.357,Lucy Galván,2014-01-18T05:11:48.233,,20,14,0,3127142
170,205,2013-10-12T09:20:44.847,DaGhostman Dimitrov,2018-10-12T06:54:53.687,"London, United Kingdom",5,12,0,1940966
171,176,2013-10-12T12:01:15.757,Lucero,2020-06-16T13:03:33.687,Switzerland,6,8,0,32074
172,263,2013-10-12T16:43:10.870,Jimmy Hoffa,2018-09-04T14:25:20.783,,7,2,0,171169
173,136,2013-10-12T17:27:56.633,Hammad,2014-09-23T15:51:59.280,"Moosburg, Germany",4,0,0,2040594
174,206,2013-10-12T18:33:40.763,Benjamin Gruenbaum,2021-02-02T23:18:51.690,Israel,17,14,0,1424245
175,101,2013-10-12T19:04:16.417,Andrew Barber,2013-11-27T19:52:09.847,Ohio,12,15,0,85265
176,241,2013-10-12T19:20:44.100,Shaul Behr,2019-12-30T13:58:31.163,"Jerusalem, Israel",15,5,0,5011
177,333,2013-10-13T17:38:42.467,3ventic,2020-08-18T01:46:08.660,"Jyväskylä, Finland",11,3,1,1985009
179,101,2013-10-14T11:43:17.417,Hardy,2014-09-01T19:34:14.537,Sweden,1,1,0,40043
181,420,2013-10-15T08:40:38.933,Shadow Wizard is Vaccinating,2021-02-25T15:30:16.577,Israel,26,11,1,201110
182,1870,2013-10-15T11:07:43.620,maple_shaft,2020-12-22T16:50:40.473,"Pittsburgh, PA",116,49,3,327831
183,101,2013-10-15T14:35:10.737,RhysW,2019-06-21T08:13:30.680,Earth...I think,2,8,0,1797843
185,935,2013-10-15T22:46:25.307,Santa Claus,2018-07-11T11:15:56.023,The North Pole,43,24,0,2848444
186,101,2013-10-16T02:34:27.947,WendiKidd,2013-10-26T14:25:13.610,"Dallas, TX",1,1,1,1011260
187,101,2013-10-16T07:42:08.567,Jamiec,2021-01-14T15:05:34.843,,1,0,0,76830
188,753,2013-10-16T18:31:57.857,Coronus,2020-08-18T18:48:18.930,"Sacramento, CA",89,105,11,26260
189,101,2013-10-17T13:55:01.300,DannyMeister,2020-06-25T05:12:26.050,Missouri,1,0,0,1438820
190,131,2013-10-20T16:12:30.040,Kent Pawar,2014-05-11T07:41:10.733,Earth,1,1,0,961501
191,1311,2013-10-20T23:27:41.450,sulfureous,2020-10-19T20:34:50.037,Mexico,51,48,2,2280786
192,101,2013-10-21T19:32:47.520,Juice,2018-08-02T14:49:17.220,,1,0,0,87273
193,326,2013-10-21T20:42:33.897,jk.,2020-11-02T09:40:15.133,,18,15,0,71866
195,101,2013-10-22T18:19:53.727,Justin Ethier,2019-09-16T15:42:43.613,"Baltimore, MD",0,2,0,35717
197,101,2013-10-22T20:44:25.657,bazite,2013-11-01T14:06:03.443,United Kingdom,0,0,0,2199082
198,101,2013-10-22T20:48:00.880,Zero,2020-04-06T15:49:25.303,USA,1,5,0,453380
199,101,2013-10-22T22:03:26.687,Dana,2015-01-21T23:03:06.510,-,0,0,0,20294
200,101,2013-10-22T23:02:05.980,Earthliŋ,2020-12-12T16:30:25.257,,1,0,0,1244118
201,181,2013-10-22T23:06:22.883,Devon Garber,2017-05-19T19:54:29.820,,13,3,0,1084840
202,101,2013-10-22T23:50:04.590,Venki,2015-02-16T19:28:24.840,"Leawood, Kansas",0,4,0,170267
203,141,2013-10-23T01:58:26.350,Synetech,2020-04-07T18:51:30.053,"Ontario, Canada",2,0,0,41156
204,101,2013-10-23T02:00:29.387,Matt Chan,2020-05-05T00:44:52.890,,0,24,0,97539
205,341,2013-10-23T03:25:40.383,fbueckert,2020-07-17T15:46:25.267,,44,1,3,493370
206,101,2013-10-23T05:25:21.157,kazimanzurrashid,2016-08-18T17:03:11.987,"Dhaka, Bangladesh",0,0,0,4349
207,275,2013-10-23T06:53:11.460,Voitcus,2016-01-10T17:23:20.567,Poland,18,52,0,2388415
208,101,2013-10-23T07:08:06.570,Mohsen Nosratinia,2018-08-08T14:07:34.413,"Gothenburg, Sweden",0,0,0,1353515
209,111,2013-10-23T07:16:30.423,Jawa,2014-04-25T11:25:25.097,"Helsinki, Finland",2,0,0,21072
211,1,2013-10-23T07:39:11.097,Vlad Tamas,2013-10-23T07:39:11.097,"Cluj-Napoca, Romania",2,0,0,158613
212,101,2013-10-23T08:02:00.617,Tim B James,2013-12-18T13:31:29.937,,1,0,0,59486
213,131,2013-10-23T09:57:28.257,BlakBat,2019-12-25T12:22:39.180,France,1,6,0,458253
214,173,2013-10-23T11:07:51.200,user214,2014-02-21T02:08:09.157,,5,1,0,3478335
215,101,2013-10-23T12:57:52.973,Gilles 'SO- stop being evil',2021-02-03T11:18:17.040,https://www.gofundme.com/f/stop-stack-overflow-from-defaming-its-users,1,5,0,164368
216,161,2013-10-23T14:44:37.163,Funk Forty Niner,2019-08-12T20:08:06.177,,72,2,0,1514354
217,266,2013-10-23T15:01:40.543,William,2020-08-18T18:42:31.557,,8,8,0,2229341
218,101,2013-10-23T15:05:43.127,Dan Is Fiddling By Firelight,2021-02-24T13:10:08.950,"Johnstown, PA",0,3,0,31237
219,101,2013-10-23T15:44:02.593,grumpasaurus,2014-01-01T01:43:34.103,"Chicago, IL",0,0,0,454480
220,101,2013-10-23T16:04:16.223,Philip,2020-05-27T17:22:00.950,Texas,0,39,0,348619
221,195,2013-10-23T16:48:09.390,Petr,2020-07-20T18:34:00.030,Germany,6,9,0,1405089
222,101,2013-10-23T19:15:25.967,Rodney Schuler,2015-02-12T21:59:28.750,Iowa,0,26,0,4172
223,141,2013-10-23T20:01:52.580,miracle173,2019-08-14T02:49:25.213,Austria,14,0,0,392965
224,19554,2013-10-23T20:19:51.577,Zaralynda,2020-02-19T12:01:16.463,Interwebs,1951,1705,190,3481002
225,191,2013-10-23T20:43:57.087,kguest,2018-12-05T11:08:05.520,"Nenagh, Ireland",13,5,0,27185
227,101,2013-10-23T22:12:43.357,Manishearth,2020-06-28T02:51:18.823,"Berkeley, CA, United States",0,6,0,1212053
228,101,2013-10-23T22:20:56.003,JDT,2019-09-25T11:21:13.373,"Seattle, WA",2,0,0,26088
229,201,2013-10-23T22:53:15.157,Jessica Dishaw,2013-10-23T23:08:20.933,,23,0,0,3481576
231,1132,2013-10-24T13:29:38.980,Skippy le Grand Gourou,2020-10-02T09:13:43.953,"Clermont-Ferrand, France",81,23,0,429289
232,101,2013-10-24T15:40:26.653,Johnny Arizona,2019-10-22T01:26:50.190,"Springfield, IL",1,0,0,247776
233,111,2013-10-24T16:15:58.573,BlueRaja - Danny Pflughoeft,2021-01-17T08:08:57.337,"not Madison, WI",3,9,0,85546
234,271,2013-10-24T17:56:45.930,Nielsvh,2018-11-13T22:29:33.317,,5,2,0,479580
236,425,2013-10-25T02:34:20.123,ktdid,2015-07-16T19:07:19.633,"Des Moines, IA",4,14,2,3199704
237,163,2013-10-25T09:31:43.373,Charooka,2020-10-04T17:57:17.567,USA,7,6,0,1273479
238,157,2013-10-25T11:55:16.090,Mr Lister,2020-08-14T13:03:19.007,"Europe, somewhere",1,5,1,1002072
239,101,2013-10-25T16:07:40.863,warren,2017-02-21T15:20:00.807,"Lily, KY",0,1,0,3110
240,940,2013-10-25T18:48:05.447,GrandmasterB,2021-01-10T05:49:47.203,,42,115,2,52432
241,219,2013-10-25T22:02:26.097,WernerCD,2019-02-26T00:38:01.467,Delaware,6,2,0,177592
242,101,2013-10-25T22:23:41.990,EmmyS,2013-10-25T22:23:41.990,"Chicago, IL, USA",0,0,0,137434
243,101,2013-10-26T08:12:00.490,Claude Colomb,2013-11-11T01:52:40.290,,11,0,0,3493512
244,101,2013-10-26T14:10:14.127,Mike Pennington,2019-05-17T20:45:12.933,"Austin, TX",0,4,0,338430
245,101,2013-10-26T16:25:39.600,Mansfield,2020-09-17T18:39:51.007,Canada,0,8,0,1393816
246,1,2013-10-26T16:50:28.150,user2068130,2013-10-26T16:50:28.150,,4,0,0,2361546
247,101,2013-10-26T17:12:54.460,ppl,2019-01-05T20:20:35.730,,16,19,0,323804
248,101,2013-10-26T19:16:04.307,Uwe Keim,2020-06-15T16:55:41.470,"Göppingen, Germany",0,20,0,37624
249,1741,2013-10-26T21:09:50.487,Don Larynx,2016-08-16T18:54:52.280,,124,46,4,3207534
250,101,2013-10-26T22:06:30.383,Jay Cummins,2014-03-09T01:59:38.733,"Richmond, VA, USA",0,0,0,164079
251,101,2013-10-27T13:41:22.593,martin_joerg,2019-01-04T22:34:00.010,,0,0,0,73323
252,221,2013-10-27T15:49:37.787,thkala,2020-08-30T17:49:20.267,Greece,0,1,0,238552
253,101,2013-10-27T23:04:29.590,Flow,2013-12-30T23:47:20.547,,2,0,0,66439
255,101,2013-10-28T13:03:56.173,Tim Lehner,2016-08-11T14:13:42.777,SoCal,0,1,0,472429
256,101,2013-10-28T18:30:15.000,Max Vernon,2020-03-04T14:28:47.833,Canada,0,2,0,1675325
257,101,2013-10-28T18:57:41.407,coneslayer,2020-10-11T21:46:32.263,Pennsylvania,0,0,0,112911
258,3735,2013-10-28T19:13:09.150,toxotes,2020-07-31T14:07:59.340,Boston,325,116,13,1829661
259,673,2013-10-28T19:33:36.330,jippie,2019-12-25T13:29:53.260,"Eindhoven, Netherlands",40,10,0,1317946
260,304,2013-10-28T19:36:33.423,Origami Robot,2015-02-09T14:45:10.237,"Charlotte, NC",21,3,2,503817
