Id,CreationDate,PostId,RelatedPostId,LinkTypeId
8214,2013-11-22T12:42:59.657,1441,1457,1
8230,2013-11-22T16:21:19.717,1460,551,1
8231,2013-11-22T16:21:19.717,1460,1457,1
8298,2013-11-23T03:12:53.713,1440,43,1
8368,2013-11-24T15:27:01.823,1468,1470,1
8369,2013-11-24T15:52:21.750,1470,1468,1
8661,2013-11-26T13:14:59.490,1503,617,1
8662,2013-11-26T13:14:59.490,1503,1502,1
8663,2013-11-26T13:17:50.737,1457,1502,1
8664,2013-11-26T13:17:50.737,1457,1503,1
8705,2013-11-27T11:43:17.703,1503,1423,1
8714,2013-11-27T19:16:57.970,1510,1497,1
8764,2013-11-28T15:00:49.300,132,1407,1
8881,2013-11-30T13:51:20.850,132,1397,1
8882,2013-11-30T13:52:39.120,132,202,1
8943,2013-12-01T09:13:28.273,181,38,1
9055,2013-12-02T17:59:59.387,1524,1110,1
9148,2013-12-03T01:24:36.080,202,1520,1
9224,2013-12-03T16:07:58.103,1529,1533,1
9239,2013-12-03T23:49:44.690,1489,630,1
9245,2013-12-04T00:30:37.960,1538,107,1
9248,2013-12-04T02:54:39.950,1522,1003,1
9249,2013-12-04T02:54:39.950,1522,436,1
9276,2013-12-04T07:11:06.357,1543,914,1
9279,2013-12-04T15:14:53.157,925,1366,1
9325,2013-12-04T17:06:38.723,1548,511,1
9467,2013-12-06T02:35:48.043,1000,1576,1
9472,2013-12-06T03:06:45.417,1576,1000,1
9665,2013-12-08T14:34:06.357,522,1441,1
9666,2013-12-08T14:34:06.357,522,692,1
9858,2013-12-10T09:22:09.187,1618,324,1
9859,2013-12-10T09:25:08.187,1618,330,1
9965,2013-12-11T07:42:48.627,1636,1637,1
9993,2013-12-11T15:21:25.167,1627,213,1
10040,2013-12-12T00:57:46.447,1627,213,3
10134,2013-12-12T19:18:15.543,1653,1202,1
10512,2013-12-17T05:24:49.627,1692,880,1
10656,2013-12-18T18:16:08.740,1334,1314,1
10883,2013-12-20T16:13:11.980,1753,1601,1
11019,2013-12-22T14:40:21.450,1763,1637,1
11190,2013-12-24T16:41:44.873,1782,1009,1
11191,2013-12-24T17:13:13.950,1781,1632,1
11223,2013-12-25T18:02:31.740,1782,1009,3
11314,2013-12-27T07:09:13.420,1800,1276,1
11315,2013-12-27T07:09:13.420,1800,1793,1
11344,2013-12-27T20:36:40.713,1790,69,1
11530,2013-12-30T16:30:12.907,1826,1827,1
11568,2014-01-01T03:25:16.307,1826,1827,3
11692,2014-01-02T23:47:55.323,1834,1843,1
11714,2014-01-03T07:54:33.267,1843,1834,1
11742,2014-01-03T14:59:21.630,1848,760,1
11747,2014-01-03T16:25:22.010,1844,266,1
11791,2014-01-04T01:06:57.493,1853,1857,1
11857,2014-01-04T14:27:56.493,1857,1862,1
11858,2014-01-04T14:27:56.493,1857,1783,1
11859,2014-01-04T14:27:56.493,1857,1861,1
11930,2014-01-06T14:48:53.103,1816,1460,1
12019,2014-01-07T13:19:06.513,1816,1503,1
12030,2014-01-07T14:55:44.703,1881,1698,1
12043,2014-01-07T16:35:14.390,1881,1394,1
12095,2014-01-08T10:16:48.687,1861,1857,1
12096,2014-01-08T11:35:34.220,1882,1816,1
12107,2014-01-08T13:48:16.803,1885,1601,1
12214,2014-01-09T03:18:00.223,1905,1738,1
12305,2014-01-10T04:51:29.927,1610,1922,1
12634,2014-01-13T19:55:46.637,1944,380,1
12657,2014-01-13T21:30:36.613,1610,1949,1
12671,2014-01-13T22:47:04.480,1949,1610,1
12840,2014-01-16T00:16:46.790,1962,1320,1
12903,2014-01-16T18:19:15.980,1980,1895,1
12923,2014-01-17T04:00:29.240,213,1976,3
13026,2014-01-18T01:15:01.220,1984,617,1
13027,2014-01-18T01:15:01.220,1984,1441,1
13108,2014-01-18T20:31:36.683,2003,365,1
13157,2014-01-19T13:12:38.647,1961,617,1
13160,2014-01-19T13:57:43.417,1981,1218,1
13242,2014-01-20T21:59:11.137,2012,906,1
13362,2014-01-22T17:59:37.370,1548,831,1
13363,2014-01-22T18:10:33.610,2028,637,1
13447,2014-01-24T00:05:52.440,1548,523,1
13731,2014-01-29T11:40:08.453,2076,436,1
13756,2014-01-29T16:07:04.037,2076,67,1
13757,2014-01-29T17:09:21.443,2076,67,3
13758,2014-01-29T17:43:39.210,2076,1440,1
13793,2014-01-30T08:25:07.860,2085,1524,3
13871,2014-02-01T10:43:26.633,2102,324,1
13930,2014-02-01T22:31:38.963,2102,380,1
13945,2014-02-02T07:12:48.027,2102,1767,1
13985,2014-02-02T17:52:44.073,2120,2117,3
14022,2014-02-03T12:08:39.120,2123,692,1
14023,2014-02-03T12:08:39.120,2123,1783,1
14059,2014-02-03T19:42:14.077,2127,1783,1
14060,2014-02-03T19:42:14.077,2127,2123,1
14071,2014-02-03T19:43:22.207,2123,2127,1
14117,2014-02-04T09:16:58.747,2135,611,1
14132,2014-02-04T11:56:29.063,2138,2122,1
14156,2014-02-04T16:02:02.320,2122,2138,1
14169,2014-02-04T19:19:49.393,2144,2133,1
14185,2014-02-04T20:03:14.747,2145,1932,1
14191,2014-02-04T20:44:44.257,2133,2146,1
14202,2014-02-04T21:30:45.850,972,2132,1
14227,2014-02-04T22:38:03.190,2133,2144,1
14273,2014-02-05T20:54:14.137,1932,2162,1
14342,2014-02-06T20:02:46.387,2174,2169,1
14454,2014-02-07T13:18:38.743,2186,549,1
14516,2014-02-07T21:22:27.560,2186,549,3
14557,2014-02-08T11:55:07.893,2192,2199,1
14603,2014-02-09T03:36:35.647,2201,480,1
14803,2014-02-11T01:10:56.930,2219,514,1
14804,2014-02-11T01:10:56.930,2219,1460,1
14805,2014-02-11T01:10:56.930,2219,3,1
14827,2014-02-11T11:41:58.680,2229,2219,1
14838,2014-02-11T11:42:54.967,2219,2229,1
14839,2014-02-11T11:49:32.937,2230,3,1
15223,2014-02-16T00:19:01.207,2264,1817,1
15224,2014-02-16T01:03:19.343,2264,1962,1
15227,2014-02-16T11:57:13.610,2199,551,1
15290,2014-02-17T00:37:13.643,2293,16,1
15296,2014-02-17T05:37:10.313,2293,1834,1
15297,2014-02-17T06:11:48.613,2293,67,1
15438,2014-02-18T14:54:48.890,2306,92,1
15537,2014-02-19T05:26:30.080,2313,2307,1
15557,2014-02-19T07:53:42.867,2314,1322,1
15600,2014-02-19T14:59:24.707,2318,1793,1
15601,2014-02-19T14:59:24.707,2318,1276,1
15655,2014-02-19T18:39:50.433,2320,971,1
15666,2014-02-19T19:41:10.630,2314,1322,3
15686,2014-02-20T09:19:59.130,2327,2006,1
15819,2014-02-21T04:29:35.163,2336,2293,1
15885,2014-02-22T00:48:27.047,2346,2190,1
15969,2014-02-23T08:36:10.160,2349,134,1
15995,2014-02-23T14:47:36.433,2350,1490,1
15999,2014-02-23T15:19:40.227,1490,2350,1
16035,2014-02-24T11:56:28.573,2354,1962,1
16036,2014-02-24T11:56:28.573,2354,3,1
16037,2014-02-24T11:56:28.573,2354,692,1
16098,2014-02-25T12:01:59.787,2361,692,1
16099,2014-02-25T12:01:59.787,2361,1441,1
16100,2014-02-25T12:01:59.787,2361,551,1
16101,2014-02-25T12:01:59.787,2361,1816,1
16126,2014-02-25T16:20:39.727,2367,2328,1
16145,2014-02-25T16:34:43.587,2369,591,1
16185,2014-02-26T00:11:56.530,2237,514,1
16186,2014-02-26T00:11:56.530,2237,2219,1
16187,2014-02-26T00:11:56.530,2237,3,1
16188,2014-02-26T00:11:56.530,2237,978,1
16211,2014-02-26T09:50:04.640,2377,2237,1
16222,2014-02-26T09:50:45.487,2237,2377,1
16365,2014-02-27T16:39:03.540,2399,1553,1
16539,2014-02-28T09:13:27.747,2420,2237,1
16590,2014-02-28T19:24:27.560,2403,925,1
16645,2014-03-01T09:10:36.790,2427,831,1
16828,2014-03-04T05:02:09.967,2409,2453,1
16832,2014-03-04T05:03:24.317,2430,2453,1
16846,2014-03-04T05:46:09.523,2349,2407,1
16847,2014-03-04T05:46:09.523,2349,2410,1
16848,2014-03-04T06:00:23.907,134,2407,1
16849,2014-03-04T06:00:23.907,134,2410,1
16871,2014-03-04T15:38:08.480,2455,2349,1
16946,2014-03-05T11:56:31.057,2463,2108,1
17071,2014-03-07T13:57:02.930,2477,1464,1
17092,2014-03-07T14:18:52.543,2478,2350,1
17119,2014-03-07T20:06:45.403,2471,2409,1
17266,2014-03-09T20:23:53.843,2490,2240,1
17336,2014-03-10T10:55:02.743,2499,2490,1
17369,2014-03-10T14:14:53.477,2490,2499,1
17384,2014-03-10T16:40:05.150,2507,288,1
17455,2014-03-11T03:02:12.543,2516,464,1
17479,2014-03-11T10:58:17.557,2522,2515,1
17493,2014-03-11T13:29:26.943,2507,288,3
17605,2014-03-12T10:25:37.090,2489,2527,1
17636,2014-03-12T19:19:00.933,2532,150,1
17637,2014-03-12T19:19:00.933,2532,692,1
17760,2014-03-14T16:01:12.157,2544,2484,1
17761,2014-03-14T16:01:12.157,2544,655,1
17762,2014-03-14T16:01:12.157,2544,223,1
17763,2014-03-14T16:01:12.157,2544,266,1
17764,2014-03-14T16:01:12.157,2544,373,1
17765,2014-03-14T16:01:12.157,2544,83,1
17876,2014-03-15T14:08:36.313,2484,2544,1
17923,2014-03-15T22:38:28.217,2554,2553,1
18173,2014-03-17T16:23:38.123,2570,2219,1
18244,2014-03-18T01:16:19.653,2590,1312,1
18268,2014-03-18T09:43:15.670,2591,2572,1
18355,2014-03-19T15:37:14.197,2602,2553,1
18362,2014-03-19T15:40:53.040,2602,2554,1
18396,2014-03-19T19:00:13.093,2603,2571,1
18466,2014-03-20T18:44:30.400,2557,2006,1
18632,2014-03-22T12:37:28.130,2632,99,1
18633,2014-03-22T12:43:59.493,2632,99,3
18783,2014-03-24T11:46:08.213,2652,2304,1
18784,2014-03-24T11:46:08.213,2652,2499,1
18841,2014-03-25T10:48:34.110,2660,2657,1
18852,2014-03-25T10:49:12.327,2657,2660,1
19037,2014-03-27T17:27:02.617,2670,1881,1
19047,2014-03-27T19:21:28.390,2674,514,1
19048,2014-03-27T19:21:28.390,2674,1320,1
19049,2014-03-27T19:21:28.390,2674,1998,1
19050,2014-03-27T19:21:28.390,2674,2264,1
19051,2014-03-27T19:32:20.713,2677,3,1
19206,2014-03-28T10:13:51.720,2639,2031,1
19258,2014-03-28T15:51:28.053,2715,2103,1
19271,2014-03-28T16:46:20.197,1240,514,1
19591,2014-04-01T19:30:39.437,14,1417,1
19635,2014-04-02T06:21:20.400,2755,229,1
19655,2014-04-02T16:25:55.170,2755,220,1
19661,2014-04-02T18:31:47.067,2743,1009,1
19848,2014-04-04T10:36:29.270,2660,2784,1
19886,2014-04-04T18:50:41.963,2788,2371,1
19913,2014-04-04T19:35:43.123,2782,2529,1
19930,2014-04-05T05:15:49.253,2788,2371,3
19982,2014-04-06T11:23:11.480,2790,2789,1
19983,2014-04-06T12:14:57.523,2800,2789,1
19994,2014-04-06T12:18:53.160,2789,2800,1
19995,2014-04-06T12:18:53.160,2789,2790,1
20048,2014-04-07T12:07:54.917,2769,2800,1
20064,2014-04-07T16:23:37.013,2808,95,1
20082,2014-04-07T17:17:30.090,2807,1150,1
20101,2014-04-07T18:52:17.027,2811,2639,1
20127,2014-04-08T02:56:11.170,2817,2791,1
20149,2014-04-08T12:42:38.007,1007,1998,1
20184,2014-04-08T16:23:00.700,2808,2835,1
20290,2014-04-09T14:35:22.043,2843,266,1
20296,2014-04-09T15:12:47.547,2798,692,1
20332,2014-04-09T19:20:12.170,2838,516,1
20430,2014-04-10T13:24:35.183,2855,173,1
20436,2014-04-10T14:11:07.570,2854,2002,1
20449,2014-04-10T16:09:41.757,2857,2549,1
20474,2014-04-10T20:54:22.767,2874,2854,1
20475,2014-04-10T20:54:22.767,2874,2032,1
20486,2014-04-10T20:57:03.530,2854,2874,1
20494,2014-04-10T23:17:17.540,2884,16,1
20495,2014-04-10T23:17:17.540,2884,1379,1
20668,2014-04-13T11:56:17.230,2911,1857,1
20709,2014-04-13T22:23:17.207,2916,1330,1
20719,2014-04-14T00:26:18.397,2917,2132,1
20929,2014-04-16T07:40:57.557,2769,1962,1
20930,2014-04-16T07:40:57.557,2769,2790,1
20931,2014-04-16T08:13:10.303,2936,659,1
21379,2014-04-22T15:54:00.037,2460,2455,1
21433,2014-04-23T14:18:02.543,2778,260,1
21434,2014-04-23T14:18:02.543,2778,353,1
21542,2014-04-24T14:10:28.787,2987,2222,1
21543,2014-04-24T14:10:28.787,2987,767,1
21549,2014-04-24T14:53:37.920,2992,2222,1
21566,2014-04-24T16:08:23.337,2989,2529,1
21567,2014-04-24T17:00:42.893,2982,458,1
21579,2014-04-24T18:26:20.067,2996,16,1
21580,2014-04-24T18:26:20.067,2996,1834,1
21592,2014-04-24T21:34:39.237,2992,767,1
21595,2014-04-24T23:04:26.943,2959,67,1
21596,2014-04-24T23:04:26.943,2959,396,1
21637,2014-04-25T10:38:57.800,2992,2304,1
21638,2014-04-25T10:38:57.800,2992,2530,1
21639,2014-04-25T10:38:57.800,2992,2499,1
21640,2014-04-25T10:38:57.800,2992,2392,1
21663,2014-04-25T14:06:05.197,3007,2959,1
21687,2014-04-25T14:17:35.647,3007,2174,1
21695,2014-04-25T14:29:35.707,3007,67,1
21696,2014-04-25T14:29:35.707,3007,396,1
21782,2014-04-26T14:59:52.117,3015,880,1
21783,2014-04-26T14:59:52.117,3015,792,1
21784,2014-04-26T14:59:52.117,3015,753,1
21862,2014-04-27T12:29:01.567,3023,400,1
22025,2014-04-29T10:23:08.993,3040,2506,1
22075,2014-04-29T19:19:33.000,3040,3049,1
22415,2014-05-04T16:17:32.550,3100,2573,1
22504,2014-05-05T15:51:15.050,3105,1783,1
22517,2014-05-05T16:21:24.127,3091,3108,1
22531,2014-05-05T19:12:37.617,3111,2966,1
22594,2014-05-06T14:48:28.130,3118,1783,1
22630,2014-05-07T15:18:06.033,2451,271,1
22694,2014-05-08T23:12:03.623,3127,1009,1
22706,2014-05-09T00:28:07.270,3127,1730,1
22806,2014-05-10T00:13:11.790,3146,3127,1
22817,2014-05-10T00:14:02.340,3127,3146,1
23156,2014-05-13T13:43:06.427,3182,94,1
23157,2014-05-13T14:30:28.660,3182,94,3
23211,2014-05-13T21:25:21.550,3165,3190,1
23326,2014-05-16T14:20:32.173,3199,3159,1
23327,2014-05-16T14:20:32.173,3199,1366,1
23338,2014-05-16T14:24:01.383,3159,3199,1
23633,2014-05-18T17:48:19.810,3223,501,1
23662,2014-05-18T23:18:32.353,3227,23,1
23866,2014-05-21T12:38:06.197,3248,1009,1
23895,2014-05-21T15:31:57.237,3250,1715,1
24055,2014-05-23T11:40:16.430,3270,1718,1
24112,2014-05-23T19:56:57.363,3274,2966,1
24128,2014-05-23T20:14:51.663,3275,2966,1
24129,2014-05-23T20:14:51.663,3275,3274,1
24140,2014-05-23T20:23:44.627,3274,3275,1
24254,2014-05-25T16:00:57.870,3282,3015,1
24278,2014-05-25T16:50:32.220,3282,3020,3
24459,2014-05-27T20:08:24.480,3296,324,1
24464,2014-05-27T21:13:57.083,3296,324,3
24610,2014-05-28T21:51:53.033,3300,2590,1
24712,2014-05-29T17:18:41.040,3300,1885,1
24814,2014-05-31T09:28:18.857,3328,1816,1
24815,2014-05-31T09:28:18.857,3328,551,1
24816,2014-05-31T09:28:18.857,3328,692,1
24817,2014-05-31T09:28:18.857,3328,1441,1
24818,2014-05-31T09:36:08.793,3329,1857,1
24819,2014-05-31T10:19:33.667,3297,2527,1
24820,2014-05-31T10:19:33.667,3297,2489,1
26322,2014-06-02T13:28:29.857,4342,1009,1
26433,2014-06-03T20:12:16.433,4357,421,1
26472,2014-06-04T11:10:01.217,4357,324,1
26483,2014-06-04T15:53:33.743,4371,83,1
26484,2014-06-04T15:53:33.743,4371,4362,1
26539,2014-06-05T03:30:23.720,4371,480,1
26557,2014-06-05T10:33:44.947,4383,4346,1
26568,2014-06-05T10:34:27.970,4346,4383,1
26762,2014-06-07T15:16:30.263,4408,4407,1
27845,2014-06-08T16:46:43.490,4416,198,1
28887,2014-06-09T17:04:03.557,5420,549,1
28933,2014-06-10T11:25:25.140,4362,875,1
28938,2014-06-10T13:30:02.007,5420,549,3
28963,2014-06-10T19:52:03.820,5416,4407,1
29033,2014-06-12T09:43:29.013,2800,2677,1
29034,2014-06-12T09:43:29.013,2800,2769,1
29045,2014-06-12T10:06:24.077,2328,5442,1
29195,2014-06-13T21:42:28.773,5457,1231,1
29218,2014-06-14T06:00:02.020,5457,1976,1
29236,2014-06-14T12:28:25.120,5466,4407,1
29250,2014-06-14T14:04:49.197,5466,5416,1
29251,2014-06-14T14:04:49.197,5466,1783,1
29252,2014-06-14T14:04:49.197,5466,4410,1
29253,2014-06-14T14:04:49.197,5466,1441,1
29254,2014-06-14T14:04:49.197,5466,551,1
29255,2014-06-14T14:04:49.197,5466,1423,1
29256,2014-06-14T14:04:49.197,5466,522,1
29257,2014-06-14T14:04:49.197,5466,1961,1
29313,2014-06-15T10:31:05.157,5466,48,1
29379,2014-06-16T11:34:57.973,4407,1961,1
29439,2014-06-17T10:37:38.663,5481,692,1
29440,2014-06-17T10:37:38.663,5481,551,1
29500,2014-06-18T01:58:59.957,5484,5483,1
29528,2014-06-18T05:09:17.977,5487,2174,1
29560,2014-06-18T12:57:47.633,141,5488,1
29561,2014-06-18T13:06:49.263,5488,141,1
29725,2014-06-19T21:18:19.440,5498,5509,1
29847,2014-06-21T02:59:01.927,5533,5523,1
29877,2014-06-21T10:58:38.637,5424,5523,1
29914,2014-06-21T20:19:59.673,5541,971,1
30135,2014-06-24T16:22:44.730,5556,2140,1
30225,2014-06-25T12:41:26.723,5573,2489,1
30254,2014-06-25T14:29:09.653,5575,5577,1
30363,2014-06-26T10:38:18.103,5416,5466,1
30434,2014-06-26T22:28:08.850,5595,3251,1
30437,2014-06-26T22:57:52.760,5595,3251,3
30439,2014-06-27T00:22:04.597,5592,5591,1
30449,2014-06-27T01:23:02.433,5592,2567,1
30501,2014-06-27T18:28:06.130,5600,5573,1
30512,2014-06-27T18:44:15.893,5591,5592,1
30560,2014-06-28T10:41:36.903,5601,2336,1
30561,2014-06-28T10:41:36.903,5601,105,1
30562,2014-06-28T10:51:07.163,5602,105,1
30563,2014-06-28T10:51:07.163,5602,1699,1
30589,2014-06-28T12:51:15.623,5602,1578,1
30590,2014-06-28T12:51:15.623,5602,1962,1
30697,2014-06-29T17:23:37.937,5613,5611,1
30713,2014-06-29T19:24:34.143,5601,1254,1
30804,2014-06-30T12:45:28.950,5616,2230,1
30805,2014-06-30T12:45:28.950,5616,4410,1
30806,2014-06-30T12:45:28.950,5616,692,1
30807,2014-06-30T12:45:28.950,5616,1783,1
30808,2014-06-30T12:45:28.950,5616,3324,1
30932,2014-07-01T12:54:41.643,3205,787,1
31016,2014-07-01T22:03:31.733,5656,5549,1
31055,2014-07-02T10:37:02.750,5654,3189,1
31056,2014-07-02T10:37:02.750,5654,3103,1
31057,2014-07-02T10:37:02.750,5654,2834,1
31058,2014-07-02T14:27:03.103,5662,3205,1
31116,2014-07-02T21:06:14.263,5666,38,1
31119,2014-07-02T21:24:30.003,5667,1007,1
31179,2014-07-03T10:25:11.547,5667,1998,1
31180,2014-07-03T10:25:11.547,5667,358,1
31181,2014-07-03T10:27:53.357,5667,5487,1
31214,2014-07-03T16:38:40.743,5667,3202,1
31257,2014-07-03T20:44:23.770,5616,5612,1
31308,2014-07-04T06:50:41.937,5702,1899,1
31329,2014-07-04T10:54:52.583,5705,5616,1
31340,2014-07-04T11:01:45.230,5616,5705,1
31620,2014-07-07T17:31:37.970,5742,5728,1
31631,2014-07-07T17:32:26.103,5728,5742,1
31699,2014-07-08T15:49:09.960,5747,1610,1
32957,2014-07-11T13:34:18.177,5774,3190,1
32958,2014-07-11T13:35:24.993,5774,5486,1
33460,2014-07-14T11:03:12.480,5806,5801,1
33471,2014-07-14T11:05:32.993,5801,5806,1
33511,2014-07-14T18:44:37.020,5805,4362,1
33512,2014-07-14T18:44:37.020,5805,1104,1
33597,2014-07-15T17:16:35.477,5832,5824,1
33700,2014-07-16T13:07:03.947,5840,3103,1
33736,2014-07-16T19:40:53.620,5849,4362,1
33750,2014-07-16T19:52:11.990,5849,5829,1
33763,2014-07-16T22:10:11.363,5824,5832,1
33856,2014-07-17T19:24:43.560,5849,5644,1
34175,2014-07-20T18:51:46.773,5880,1788,1
34247,2014-07-21T13:49:40.840,5886,5820,1
34248,2014-07-21T13:49:40.840,5886,5795,1
34308,2014-07-22T11:26:20.347,5736,1961,1
34329,2014-07-22T21:11:17.590,4407,5416,1
34330,2014-07-22T21:11:17.590,4407,5466,1
34418,2014-07-23T14:44:21.730,5910,2361,1
34431,2014-07-23T15:44:01.377,5910,551,1
34437,2014-07-23T21:25:52.770,5910,617,1
34438,2014-07-23T21:25:52.770,5910,1441,1
34451,2014-07-23T23:15:18.633,5914,5593,1
34453,2014-07-24T01:02:08.120,5914,2529,1
34464,2014-07-24T10:56:58.067,5919,1788,1
