Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastActivityDate,Title,AnswerCount,CommentCount,FavoriteCount,ContentLicense,LastEditorUserId,LastEditDate,ParentId,ClosedDate,CommunityOwnedDate
30,2,,2015-01-27T21:29:26.020,5,,4,2015-01-27T21:29:26.020,,,1,,CC BY-SA 3.0,,,26,,
31,2,,2015-01-27T21:30:30.067,4,,24,2015-01-27T21:30:30.067,,,0,,CC BY-SA 3.0,,,28,,
32,2,,2015-01-27T21:33:04.337,5,,39,2015-01-28T00:03:33.897,,,0,,CC BY-SA 3.0,39,2015-01-28T00:03:33.897,28,,
33,2,,2015-01-27T21:35:46.843,12,,24,2016-10-06T19:02:17.430,,,0,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,16,,
34,2,,2015-01-27T21:38:40.710,15,,4,2016-09-15T09:49:20.317,,,4,,CC BY-SA 3.0,2751,2016-09-15T09:49:20.317,29,,
35,2,,2015-01-27T21:50:40.847,9,,42,2016-09-16T20:01:47.713,,,2,,CC BY-SA 3.0,2751,2016-09-16T20:01:47.713,14,,
36,1,,2015-01-27T21:52:59.630,10,305,4,2020-12-09T17:01:39.720,How do I backflush my espresso machine?,2,1,,CC BY-SA 3.0,,,,,
37,2,,2015-01-27T21:58:54.353,13,,42,2015-01-27T21:58:54.353,,,0,,CC BY-SA 3.0,,,4,,
38,1,,2015-01-27T22:03:02.643,10,219,48,2015-01-27T22:24:09.617,How hot should water be to brew ground coffee directly in a cup?,3,0,1,CC BY-SA 3.0,4,2015-01-27T22:08:44.997,,,
39,1,41,2015-01-27T22:07:46.300,33,3656,39,2015-07-17T14:24:30.953,What is the hexagon funnel shaped thing that came with my aeropress for?,1,0,3,CC BY-SA 3.0,8,2015-01-29T19:44:56.720,,,
40,1,,2015-01-27T22:08:34.497,4,18,48,2015-01-27T22:08:34.497,Does closing ground coffee in clip&close container help preserve the aroma?,0,0,,CC BY-SA 3.0,,,,2015-01-28T01:06:09.657,
41,2,,2015-01-27T22:08:50.447,47,,39,2015-07-17T14:24:30.953,,,6,,CC BY-SA 3.0,39,2015-07-17T14:24:30.953,39,,
42,2,,2015-01-27T22:11:07.213,5,,52,2015-01-27T22:11:07.213,,,1,,CC BY-SA 3.0,,,38,,
43,1,,2015-01-27T22:11:21.803,10,271,48,2015-01-29T22:30:05.193,How to prevent calcium loss when drinking a lot of coffee?,1,3,,CC BY-SA 3.0,,,,,
44,1,,2015-01-27T22:15:06.293,11,25196,48,2020-01-31T10:16:02.103,What does the 'strength' mean (in numbers)?,4,1,1,CC BY-SA 3.0,3,2015-01-27T22:30:19.307,,,
45,2,,2015-01-27T22:15:19.220,9,,4,2015-01-27T22:15:19.220,,,0,,CC BY-SA 3.0,,,38,,
46,2,,2015-01-27T22:18:54.370,19,,38,2016-09-15T09:49:10.320,,,0,,CC BY-SA 3.0,2751,2016-09-15T09:49:10.320,14,,
48,1,57,2015-01-27T22:20:11.957,13,3277,44,2020-01-05T11:50:54.590,Which type of coffee grinder is the quietest?,7,3,3,CC BY-SA 3.0,,,,,
49,2,,2015-01-27T22:22:40.400,5,,54,2015-01-27T22:22:40.400,,,1,,CC BY-SA 3.0,,,48,,
50,2,,2015-01-27T22:24:09.617,0,,54,2015-01-27T22:24:09.617,,,1,,CC BY-SA 3.0,,,38,,
51,2,,2015-01-27T22:30:48.523,6,,4,2015-12-03T06:03:50.980,,,0,,CC BY-SA 3.0,4,2015-12-03T06:03:50.980,48,,
52,1,,2015-01-27T22:31:05.283,7,2916,54,2015-01-27T23:21:50.437,Roast vs Body vs Acidity,2,1,1,CC BY-SA 3.0,,,,,
53,1,80,2015-01-27T22:33:51.377,12,2685,54,2015-07-03T00:53:30.150,How V60 and Aeropress affect flavor,1,1,,CC BY-SA 3.0,,,,,
54,1,77,2015-01-27T22:33:56.587,7,413,58,2018-04-07T23:59:48.837,When to use stirring to increase extraction?,1,0,,CC BY-SA 3.0,5272,2018-04-07T23:59:48.837,,,
55,2,,2015-01-27T22:34:14.187,10,,57,2015-01-27T22:34:14.187,,,1,,CC BY-SA 3.0,,,36,,
56,1,64,2015-01-27T22:36:12.250,23,925,65,2018-07-18T09:22:22.483,How to grow coffee at home?,3,7,3,CC BY-SA 3.0,,,,,
57,2,,2015-01-27T22:36:32.920,15,,26,2018-11-01T15:06:21.670,,,2,,CC BY-SA 4.0,44,2018-11-01T15:06:21.670,48,,
58,1,165,2015-01-27T22:41:45.373,35,25944,68,2018-10-06T17:33:04.713,What's the most effective way of generating crema from an Aeropress?,7,1,10,CC BY-SA 3.0,323,2015-02-17T03:24:59.550,,,
59,2,,2015-01-27T22:42:44.507,10,,46,2015-01-27T22:42:44.507,,,1,,CC BY-SA 3.0,,,44,,
60,1,61,2015-01-27T22:49:00.850,12,8796,75,2019-09-08T01:21:11.497,What is a shot?,2,0,,CC BY-SA 3.0,56,2017-06-27T02:41:56.190,,,
61,2,,2015-01-27T22:53:45.747,25,,76,2015-01-27T22:53:45.747,,,1,,CC BY-SA 3.0,,,60,,
62,2,,2015-01-27T22:53:54.243,10,,31,2015-01-27T22:53:54.243,,,0,,CC BY-SA 3.0,,,60,,
63,1,68,2015-01-27T22:54:44.590,10,87146,79,2018-02-17T21:23:51.787,"Milk quantity and consistency in cortado, cappuccino and latte",2,0,,CC BY-SA 3.0,,,,,
64,2,,2015-01-27T23:02:38.320,16,,23,2015-02-18T12:29:46.080,,,2,,CC BY-SA 3.0,23,2015-02-18T12:29:46.080,56,,
66,1,181,2015-01-27T23:09:27.093,21,16618,52,2020-06-28T12:27:19.377,What coffees are the least acidic?,5,0,6,CC BY-SA 3.0,47,2015-01-28T08:05:00.223,,,
67,2,,2015-01-27T23:12:44.160,2,,76,2015-01-27T23:12:44.160,,,0,,CC BY-SA 3.0,,,52,,
68,2,,2015-01-27T23:18:14.363,13,,24,2015-01-27T23:18:14.363,,,1,,CC BY-SA 3.0,,,63,,
69,2,,2015-01-27T23:21:50.437,3,,31,2015-01-27T23:21:50.437,,,0,,CC BY-SA 3.0,-1,2017-04-13T12:51:53.733,52,,
70,1,,2015-01-27T23:22:28.207,29,37052,,2019-03-09T14:56:50.693,How can I minimize the amount of grounds at the bottom of my French press coffee?,12,3,4,CC BY-SA 3.0,5272,2018-04-07T23:59:58.013,,,
71,2,,2015-01-27T23:22:36.657,8,,76,2015-01-27T23:22:36.657,,,1,,CC BY-SA 3.0,,,66,,
72,2,,2015-01-27T23:26:47.247,22,,86,2016-09-13T22:22:19.353,,,1,,CC BY-SA 3.0,86,2016-09-13T22:22:19.353,6,,
73,2,,2015-01-27T23:39:08.203,5,,31,2015-01-27T23:39:08.203,,,0,,CC BY-SA 3.0,,,70,,
75,1,,2015-01-27T23:48:13.630,2,80,90,2015-01-27T23:48:13.630,What is/are the ideal brewing temperature(s) when preparing coffee?,0,1,,CC BY-SA 3.0,,,,2015-01-28T15:43:06.907,
76,2,,2015-01-27T23:51:12.140,13,,91,2015-01-27T23:51:12.140,,,0,,CC BY-SA 3.0,,,70,,
77,2,,2015-01-27T23:51:43.470,4,,76,2015-01-27T23:51:43.470,,,0,,CC BY-SA 3.0,,,54,,
78,1,121,2015-01-27T23:53:26.760,14,54087,90,2020-09-07T21:23:12.600,Most moka pots don't work on my induction stove. How can I still use them?,9,0,2,CC BY-SA 3.0,127,2015-02-06T14:00:23.407,,,
79,1,324,2015-01-27T23:53:51.513,59,141979,86,2020-11-20T14:16:09.447,How can I figure out how much caffeine is in my cup?,7,4,19,CC BY-SA 3.0,,,,,
80,2,,2015-01-28T00:13:05.467,8,,76,2015-01-28T00:13:05.467,,,4,,CC BY-SA 3.0,,,53,,
81,1,90,2015-01-28T00:13:43.660,37,72417,31,2019-01-23T14:03:16.113,"Why isn't coffee commonly sold in sachets, like tea bags?",10,6,4,CC BY-SA 3.0,86,2015-01-28T00:53:02.853,,,
82,2,,2015-01-28T00:23:36.533,13,,91,2015-01-28T00:23:36.533,,,2,,CC BY-SA 3.0,,,66,,
84,1,,2015-01-28T00:29:53.437,14,8988,95,2019-05-22T11:09:46.310,How does coffee grind size affect coffee taste,3,2,,CC BY-SA 4.0,6506,2019-05-22T11:09:46.310,,,
85,2,,2015-01-28T00:37:01.953,25,,86,2015-01-28T22:21:36.213,,,1,,CC BY-SA 3.0,86,2015-01-28T22:21:36.213,70,,
86,2,,2015-01-28T00:46:41.187,16,,76,2015-01-28T00:46:41.187,,,2,,CC BY-SA 3.0,,,81,,
87,2,,2015-01-28T00:53:41.237,14,,91,2015-01-28T00:53:41.237,,,2,,CC BY-SA 3.0,,,84,,
88,2,,2015-01-28T01:12:16.993,14,,75,2015-01-28T01:59:24.847,,,6,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,79,,
89,1,112,2015-01-28T01:15:44.047,6,248,80,2015-01-28T08:23:14.633,How does the altitude at which beans are grown affect the final roast?,1,4,1,CC BY-SA 3.0,,,,,
90,2,,2015-01-28T01:33:09.917,24,,98,2019-01-23T14:03:16.113,,,13,,CC BY-SA 4.0,7383,2019-01-23T14:03:16.113,81,,
91,2,,2015-01-28T02:13:33.510,3,,101,2015-01-28T02:58:36.360,,,0,,CC BY-SA 3.0,37,2015-01-28T02:58:36.360,28,,
92,2,,2015-01-28T02:54:46.753,2,,91,2015-01-28T02:54:46.753,,,0,,CC BY-SA 3.0,,,44,,
93,1,205,2015-01-28T03:12:46.843,14,3041,110,2016-08-10T17:58:40.647,How does pressure affect the flavor of espresso?,2,0,2,CC BY-SA 3.0,101,2015-01-29T04:23:49.310,,,
94,1,103,2015-01-28T03:15:34.813,16,65449,110,2016-12-21T22:15:18.743,How much caffeine is in an espresso shot?,2,0,4,CC BY-SA 3.0,76,2015-02-20T16:15:48.713,,,
95,1,175,2015-01-28T03:19:40.670,6,3906,110,2015-01-28T18:28:30.810,Amount of milk in a macchiato beverage,2,0,,CC BY-SA 3.0,16,2015-01-28T17:41:59.257,,,
96,1,194,2015-01-28T03:25:30.270,40,2077,110,2018-04-07T23:59:20.743,"How will ""cold brewed"" coffee differ from traditional hot-water extraction methods?",1,5,11,CC BY-SA 3.0,5272,2018-04-07T23:59:20.743,,,
97,1,,2015-01-28T03:29:13.230,15,16359,110,2019-01-03T09:09:04.123,Generating crema with a moka pot?,2,2,2,CC BY-SA 3.0,127,2015-02-10T15:28:29.793,,,
98,1,407,2015-01-28T03:45:57.007,15,7551,98,2017-02-01T08:43:34.773,Why do we need to fold the border of filters?,3,7,,CC BY-SA 3.0,98,2015-02-11T13:15:06.647,,,
99,1,102,2015-01-28T04:14:05.120,21,1479,110,2018-04-07T23:59:53.720,Does storing coffee in a freezer preserve freshness?,2,1,2,CC BY-SA 3.0,5272,2018-04-07T23:59:53.720,,,
100,1,105,2015-01-28T04:37:55.437,8,621,101,2015-01-28T07:08:49.517,How do I judge the quality of 'green' beans?,1,0,1,CC BY-SA 3.0,,,,,
101,2,,2015-01-28T05:27:00.590,1,,18,2015-01-28T05:27:00.590,,,1,,CC BY-SA 3.0,,,95,,
102,2,,2015-01-28T05:31:03.700,23,,101,2016-02-16T17:58:00.333,,,4,,CC BY-SA 3.0,101,2016-02-16T17:58:00.333,99,,
103,2,,2015-01-28T05:32:20.250,10,,18,2016-12-21T22:15:18.743,,,0,,CC BY-SA 3.0,1848,2016-12-21T22:15:18.743,94,,
104,1,,2015-01-28T07:08:41.277,9,770,48,2018-04-02T09:59:56.180,Are reused glass jars ever fit for storing ground coffee?,2,1,1,CC BY-SA 3.0,5272,2018-04-02T09:59:56.180,,,
105,2,,2015-01-28T07:08:49.517,8,,16,2015-01-28T07:08:49.517,,,1,,CC BY-SA 3.0,,,100,,
106,2,,2015-01-28T07:18:54.650,8,,48,2015-02-19T03:46:42.750,,,0,,CC BY-SA 3.0,98,2015-02-19T03:46:42.750,81,,
107,1,110,2015-01-28T07:37:23.493,10,11570,,2019-03-07T13:14:11.797,Does Nespresso contain sugar?,4,1,,CC BY-SA 3.0,,,,,
108,2,,2015-01-28T07:39:30.370,4,,16,2015-01-28T07:39:30.370,,,0,,CC BY-SA 3.0,,,70,,
109,2,,2015-01-28T07:46:09.903,7,,16,2015-01-28T07:56:00.897,,,4,,CC BY-SA 3.0,16,2015-01-28T07:56:00.897,104,,
110,2,,2015-01-28T07:49:34.440,13,,16,2015-01-28T07:49:34.440,,,0,,CC BY-SA 3.0,,,107,,
111,1,145,2015-01-28T08:07:19.013,15,2790,121,2015-01-28T17:42:51.437,Should I thoroughly clean the portafilter basket between shots?,2,0,,CC BY-SA 3.0,,,,,
112,2,,2015-01-28T08:23:14.633,5,,16,2015-01-28T08:23:14.633,,,0,,CC BY-SA 3.0,,,89,,
113,1,117,2015-01-28T08:56:52.877,12,3820,8,2019-07-27T05:47:42.317,Why do coffee packs have an aroma hole if it is recommended to store coffee in an air tight container,3,0,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,,,
115,1,142,2015-01-28T09:35:14.093,8,2023,127,2015-01-28T16:46:43.540,How do I know how hard to tamp my coffee?,2,2,,CC BY-SA 3.0,,,,,
116,1,140,2015-01-28T09:36:34.937,18,1747,127,2018-04-04T13:33:41.310,What is the difference between Robusta and Arabica?,4,0,6,CC BY-SA 3.0,5272,2018-04-04T13:33:41.310,,,
117,2,,2015-01-28T09:37:23.653,5,,16,2015-01-28T09:37:23.653,,,0,,CC BY-SA 3.0,,,113,,
118,2,,2015-01-28T09:38:57.437,6,,46,2015-01-28T09:38:57.437,,,1,,CC BY-SA 3.0,,,116,,
119,2,,2015-01-28T09:41:29.403,6,,16,2015-01-28T09:41:29.403,,,2,,CC BY-SA 3.0,,,115,,
120,1,138,2015-01-28T09:42:38.663,15,2418,127,2015-02-17T11:48:36.620,How is decaffeinated coffee made?,1,0,3,CC BY-SA 3.0,294,2015-02-17T11:48:36.620,,,
121,2,,2015-01-28T09:46:00.623,11,,127,2015-01-28T12:43:37.300,,,1,,CC BY-SA 3.0,127,2015-01-28T12:43:37.300,78,,
122,1,158,2015-01-28T09:49:38.713,14,12465,127,2020-05-07T10:11:54.197,When and how should I clean my moka pot?,4,0,1,CC BY-SA 3.0,,,,,
123,1,166,2015-01-28T09:51:59.717,32,2971,127,2016-10-13T14:46:22.693,When does coffee go off?,3,0,11,CC BY-SA 3.0,,,,,
124,1,135,2015-01-28T09:56:25.303,17,625,127,2015-07-30T21:51:00.383,Why do some people sneer at Starbucks coffee?,3,11,3,CC BY-SA 3.0,127,2015-01-28T13:06:07.647,,,
125,1,152,2015-01-28T09:59:11.077,15,1450,127,2015-01-28T17:37:26.087,What differentiates a $100 coffee machine from a $1000 coffee machine?,2,5,2,CC BY-SA 3.0,,,,,
126,1,,2015-01-28T10:17:27.200,6,92,127,2015-01-28T14:29:26.330,How can I use any pod in a Keurig 2.0?,1,0,1,CC BY-SA 3.0,,,,,
127,1,130,2015-01-28T10:32:43.690,7,401,127,2015-01-28T11:31:42.977,Do I need to boil the water before using my moka?,1,0,,CC BY-SA 3.0,,,,,
128,1,1731,2015-01-28T10:34:16.883,11,2890,127,2015-04-13T11:31:52.980,What preparation method yields the most caffeine?,3,0,2,CC BY-SA 3.0,,,,,
129,2,,2015-01-28T10:49:51.573,10,,46,2015-01-28T10:49:51.573,,,2,,CC BY-SA 3.0,,,128,,
130,2,,2015-01-28T11:31:42.977,7,,20,2015-01-28T11:31:42.977,,,0,,CC BY-SA 3.0,,,127,,
131,1,136,2015-01-28T11:47:20.727,7,21012,124,2017-09-07T09:36:03.483,What are the differences between Jacobs Krönung and Jacobs Cronat Gold?,1,1,1,CC BY-SA 3.0,,,,,
133,2,,2015-01-28T12:24:02.997,5,,131,2015-01-28T12:24:02.997,,,0,,CC BY-SA 3.0,,,125,,
134,2,,2015-01-28T12:35:34.750,13,,52,2015-01-28T12:35:34.750,,,2,,CC BY-SA 3.0,,,124,,
135,2,,2015-01-28T12:44:06.413,34,,101,2015-01-28T12:44:06.413,,,4,,CC BY-SA 3.0,,,124,,
136,2,,2015-01-28T13:21:36.660,2,,132,2015-01-28T13:21:36.660,,,0,,CC BY-SA 3.0,,,131,,
137,1,393,2015-01-28T13:24:19.927,8,416,101,2020-02-12T15:44:44.193,Does pre-heating a puck on the group head produce more crema?,1,2,,CC BY-SA 4.0,101,2020-02-12T15:44:44.193,,,
138,2,,2015-01-28T13:34:08.870,15,,132,2015-01-28T13:34:08.870,,,0,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,120,,
139,1,141,2015-01-28T13:46:30.137,28,8358,110,2019-07-03T22:28:50.857,Is Kopi Luwak safe to drink?,4,1,,CC BY-SA 3.0,127,2015-02-11T08:50:50.757,,,
140,2,,2015-01-28T13:49:02.783,22,,132,2016-12-12T20:36:21.693,,,0,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,116,,
141,2,,2015-01-28T13:58:33.807,40,,101,2015-01-28T14:11:57.570,,,5,,CC BY-SA 3.0,101,2015-01-28T14:11:57.570,139,,
142,2,,2015-01-28T14:23:30.707,8,,101,2015-01-28T16:46:43.540,,,0,,CC BY-SA 3.0,101,2015-01-28T16:46:43.540,115,,
143,2,,2015-01-28T14:26:45.020,8,,132,2016-11-29T16:30:57.753,,,0,,CC BY-SA 3.0,2751,2016-11-29T16:30:57.753,66,,
144,2,,2015-01-28T14:29:26.330,7,,133,2015-01-28T14:29:26.330,,,0,,CC BY-SA 3.0,,,126,,
145,2,,2015-01-28T14:32:50.120,10,,127,2015-01-28T14:32:50.120,,,0,,CC BY-SA 3.0,,,111,,
146,2,,2015-01-28T14:38:57.277,22,,132,2016-10-13T14:46:22.693,,,1,,CC BY-SA 3.0,2751,2016-10-13T14:46:22.693,123,,
147,1,,2015-01-28T14:47:42.027,15,852,140,2016-07-13T17:03:06.270,What constituant in coffee has a laxative effect?,1,7,,CC BY-SA 3.0,2257,2016-07-13T17:03:06.270,,,
148,2,,2015-01-28T14:54:36.957,16,,34,2015-01-30T15:35:16.433,,,0,,CC BY-SA 3.0,34,2015-01-30T15:35:16.433,139,,
149,1,169,2015-01-28T15:04:33.353,18,835,127,2018-09-08T10:26:14.550,Does coffee cause dehydration?,3,2,,CC BY-SA 3.0,,,,,
150,1,,2015-01-28T15:08:27.487,8,3552,127,2019-01-25T18:19:14.557,Is it easier to froth full-fat milk?,3,0,,CC BY-SA 3.0,5272,2018-04-07T23:59:35.403,,,
151,2,,2015-01-28T15:15:03.660,4,,57,2015-01-28T15:15:03.660,,,0,,CC BY-SA 3.0,,,150,,
152,2,,2015-01-28T15:19:35.690,16,,57,2015-01-28T17:37:26.087,,,0,,CC BY-SA 3.0,57,2015-01-28T17:37:26.087,125,,
153,1,,2015-01-28T15:22:57.537,10,631,5,2015-02-24T15:09:01.250,Generating Crema with a manual machine,1,4,1,CC BY-SA 3.0,-1,2017-04-13T12:51:53.733,,,
154,2,,2015-01-28T15:47:33.580,5,,23,2015-01-28T15:47:33.580,,,1,,CC BY-SA 3.0,,,149,,
155,2,,2015-01-28T16:18:45.293,6,,141,2015-01-28T16:18:45.293,,,2,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,150,,
156,2,,2015-01-28T16:20:01.423,8,,31,2015-01-28T16:20:01.423,,,4,,CC BY-SA 3.0,,,147,,
157,1,177,2015-01-28T16:29:16.517,16,2849,145,2015-02-05T17:27:33.907,"Why are lattes often served in big, wide cups?",2,0,,CC BY-SA 3.0,31,2015-01-28T21:23:04.230,,,
158,2,,2015-01-28T16:43:04.263,12,,137,2015-01-28T16:43:04.263,,,1,,CC BY-SA 3.0,,,122,,
159,1,162,2015-01-28T16:46:59.173,9,18795,65,2019-09-18T19:00:03.520,Is it safe to brew old coffee?,4,5,1,CC BY-SA 3.0,,,,,
160,1,,2015-01-28T17:13:05.010,12,150,48,2018-04-02T09:59:26.840,What actually happens with the ground coffee that lost its flavour?,1,0,,CC BY-SA 3.0,5272,2018-04-02T09:59:26.840,,,
161,2,,2015-01-28T17:13:35.263,8,,147,2015-02-05T17:27:33.907,,,3,,CC BY-SA 3.0,147,2015-02-05T17:27:33.907,157,,
162,2,,2015-01-28T17:15:09.480,3,,132,2015-01-28T17:15:09.480,,,0,,CC BY-SA 3.0,-1,2017-04-13T12:33:37.573,159,,
163,1,172,2015-01-28T17:19:04.800,10,130,2,2015-01-28T21:23:02.500,Is it necessary to allow a shot of espresso to rest before adding it to a drink?,2,0,,CC BY-SA 3.0,,,,,
164,1,381,2015-01-28T17:22:33.067,6,2053,2,2019-06-18T21:42:16.883,"When making a long black, how long should hot water cool before adding espresso before combining?",1,3,,CC BY-SA 3.0,2,2015-02-07T21:32:17.700,,,
165,2,,2015-01-28T17:23:20.090,20,,37,2015-08-07T16:04:24.930,,,14,,CC BY-SA 3.0,-1,2020-06-18T08:36:22.093,58,,
166,2,,2015-01-28T17:27:32.387,33,,100,2015-08-09T16:44:04.547,,,26,,CC BY-SA 3.0,100,2015-08-09T16:44:04.547,123,,
167,1,1841,2015-01-28T17:32:36.943,7,1275,149,2015-05-13T13:35:42.260,How can I identify which Keurig machines have Keurig 2.0 DRM?,1,2,1,CC BY-SA 3.0,,,,,
168,2,,2015-01-28T17:42:51.437,10,,100,2015-01-28T17:42:51.437,,,0,,CC BY-SA 3.0,,,111,,
169,2,,2015-01-28T17:55:15.807,12,,78,2015-01-28T17:55:15.807,,,4,,CC BY-SA 3.0,,,149,,
170,1,179,2015-01-28T18:07:44.810,12,726,2,2015-01-28T21:04:16.600,What happens if you fail to clean a steam wand after frothing milk?,2,0,,CC BY-SA 3.0,,,,,
171,1,2920,2015-01-28T18:08:38.557,18,9154,31,2019-09-17T15:38:59.030,Coffee cup patina; is there any logic in not washing the cup,4,0,0,CC BY-SA 3.0,,,,,
172,2,,2015-01-28T18:12:43.553,6,,110,2015-01-28T18:12:43.553,,,0,,CC BY-SA 3.0,,,163,,
173,2,,2015-01-28T18:15:44.733,3,,110,2015-01-28T18:15:44.733,,,0,,CC BY-SA 3.0,,,170,,
174,2,,2015-01-28T18:22:43.580,7,,141,2015-01-28T19:54:32.970,,,0,,CC BY-SA 3.0,141,2015-01-28T19:54:32.970,171,,
175,2,,2015-01-28T18:28:30.810,7,,78,2015-01-28T18:28:30.810,,,0,,CC BY-SA 3.0,,,95,,
177,2,,2015-01-28T18:36:20.847,12,,31,2015-01-28T18:36:20.847,,,0,,CC BY-SA 3.0,,,157,,
178,1,232,2015-01-28T18:41:21.287,7,224,110,2018-12-22T17:39:02.883,Reusable Nespresso pixie capsules,2,0,1,CC BY-SA 3.0,18,2015-01-28T21:22:53.910,,,
179,2,,2015-01-28T18:43:46.300,8,,37,2015-01-28T21:04:16.600,,,5,,CC BY-SA 3.0,137,2015-01-28T21:04:16.600,170,,
180,1,188,2015-01-28T19:14:38.603,10,4593,149,2015-10-23T14:34:09.693,Will using teabags in a Keurig cause problems?,2,1,,CC BY-SA 3.0,,,,,
