Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditDate,LastActivityDate,Title,AnswerCount,CommentCount,FavoriteCount,ContentLicense,LastEditorUserId,ClosedDate,ParentId,CommunityOwnedDate
27,1,505,2013-10-08T22:20:47.557,13,318,31,2013-10-11T23:48:26.923,2013-10-11T23:48:26.923,"How old is my non-kitten, non-senior cat?",1,2,,CC BY-SA 3.0,99,,,
28,1,31,2013-10-08T22:22:37.033,9,133,,2013-10-15T16:40:40.380,2013-10-15T16:40:40.380,What can I do when my dog loves going out at night?,1,0,,CC BY-SA 3.0,129,,,
29,2,,2013-10-08T22:23:42.773,8,,16,2013-10-29T14:25:19.537,2013-10-29T14:25:19.537,,,2,,CC BY-SA 3.0,,,10,
30,2,,2013-10-08T22:23:52.703,5,,32,2013-12-04T04:00:29.107,2013-12-04T04:00:29.107,,,3,,CC BY-SA 3.0,32,,23,
31,2,,2013-10-08T22:27:00.327,8,,20,,2013-10-08T22:27:00.327,,,1,,CC BY-SA 3.0,,,28,
32,1,308,2013-10-08T22:27:41.500,15,93354,38,2020-06-17T09:57:47.670,2017-10-11T19:35:03.247,Are ultrasonic repeller devices painful for dogs?,3,3,,CC BY-SA 3.0,-1,,,
33,2,,2013-10-08T22:31:20.960,14,,20,,2013-10-08T22:31:20.960,,,0,,CC BY-SA 3.0,,,16,
34,1,36,2013-10-08T22:32:33.697,21,1482,44,2013-10-09T10:53:40.903,2015-10-05T00:32:45.650,Is it healthy for a cat to regularly eat cheese?,2,1,,CC BY-SA 3.0,68,,,
35,2,,2013-10-08T22:32:35.407,14,,31,2014-09-02T21:24:08.110,2014-09-02T21:24:08.110,,,1,,CC BY-SA 3.0,129,,22,
36,2,,2013-10-08T22:35:13.993,17,,20,2013-12-03T22:36:27.123,2013-12-03T22:36:27.123,,,4,,CC BY-SA 3.0,,,34,
37,2,,2013-10-08T22:35:35.663,7,,32,,2013-10-08T22:35:35.663,,,0,,CC BY-SA 3.0,,,34,
38,1,,2013-10-08T22:40:55.697,31,1193,46,2014-04-07T16:13:39.013,2018-05-13T16:35:42.037,What can I do to ease my dogs' fear of loud noises?,5,0,1,CC BY-SA 3.0,628,,,
39,1,,2013-10-08T22:41:58.733,9,355,50,2013-11-30T13:43:20.507,2013-11-30T13:43:20.507,What are the healthiest foods I can feed my small dog?,1,3,,CC BY-SA 3.0,,2013-10-15T21:09:06.187,,
40,2,,2013-10-08T22:42:23.547,5,,44,2013-12-01T08:25:31.537,2013-12-01T08:25:31.537,,,0,,CC BY-SA 3.0,,,20,
41,1,,2013-10-08T22:43:15.380,23,1673,36,2020-05-17T14:03:55.103,2020-05-17T14:03:55.103,How can I keep my cat stimulated when she's stuck inside the house during winter?,3,4,,CC BY-SA 4.0,17671,,,
42,1,87,2013-10-08T22:45:29.283,20,534,48,,2013-10-16T19:08:03.900,Should my cat follow daylight savings?,1,0,,CC BY-SA 3.0,,,,
43,1,1673,2013-10-08T22:47:21.057,24,9823,53,2013-10-08T23:13:48.120,2014-04-10T08:32:18.587,How can I stop my inside cat from being irritated by other outside cats or animals?,7,0,,CC BY-SA 3.0,48,,,
44,2,,2013-10-08T22:47:26.870,5,,32,2013-10-15T18:31:00.217,2013-10-15T18:31:00.217,,,0,,CC BY-SA 3.0,129,,39,
45,2,,2013-10-08T22:47:43.513,9,,,,2013-10-08T22:47:43.513,,,0,,CC BY-SA 3.0,,,20,
46,2,,2013-10-08T22:48:26.790,24,,,2020-06-17T09:57:47.670,2013-10-08T23:27:59.653,,,1,,CC BY-SA 3.0,-1,,3,
47,1,55,2013-10-08T22:50:37.270,21,17426,48,2013-10-09T03:10:55.337,2021-02-27T02:20:07.653,What level of output laser pointer is safe for a cat?,5,1,,CC BY-SA 3.0,31,,,
48,1,,2013-10-08T22:55:35.323,14,518,,2013-10-30T03:32:12.923,2013-10-30T03:34:54.400,What are healthy treats for a house rabbit?,4,0,2,CC BY-SA 3.0,,,,
49,2,,2013-10-08T22:56:29.167,9,,20,,2013-10-08T22:56:29.167,,,2,,CC BY-SA 3.0,,,47,
50,2,,2013-10-08T22:57:20.390,7,,32,,2013-10-08T22:57:20.390,,,0,,CC BY-SA 3.0,,,47,
51,2,,2013-10-08T22:58:25.800,12,,52,,2013-10-08T22:58:25.800,,,0,,CC BY-SA 3.0,,,7,
53,1,,2013-10-08T22:59:56.263,24,1918,29,2013-10-30T03:27:35.003,2013-10-30T03:27:35.003,How can I safely reintegrate 3 male dogs that have a history of fighting?,1,0,3,CC BY-SA 3.0,129,,,
54,2,,2013-10-08T23:00:14.360,10,,20,2013-12-03T22:48:24.810,2013-12-03T22:48:24.810,,,3,,CC BY-SA 3.0,,,38,
55,2,,2013-10-08T23:01:01.813,26,,53,,2013-10-08T23:01:01.813,,,2,,CC BY-SA 3.0,,,47,
56,2,,2013-10-08T23:04:06.707,13,,51,,2013-10-08T23:04:06.707,,,0,,CC BY-SA 3.0,,,7,
57,2,,2013-10-08T23:08:21.430,3,,32,,2013-10-08T23:08:21.430,,,4,,CC BY-SA 3.0,,,48,
58,2,,2013-10-08T23:12:55.047,31,,47,,2013-10-08T23:12:55.047,,,4,,CC BY-SA 3.0,,,1,
59,2,,2013-10-08T23:12:57.227,14,,53,,2013-10-08T23:12:57.227,,,0,,CC BY-SA 3.0,,,41,
60,1,63,2013-10-08T23:27:28.620,38,18010,48,2014-10-22T19:19:40.607,2017-02-28T17:33:50.560,Why does my cat put toys in my shoes?,3,1,1,CC BY-SA 3.0,224,,,
61,2,,2013-10-08T23:30:31.583,10,,51,2013-10-08T23:41:30.347,2013-10-08T23:41:30.347,,,2,,CC BY-SA 3.0,51,,18,
62,1,581,2013-10-08T23:30:41.740,14,215,56,2014-10-24T17:43:31.400,2014-10-27T23:57:38.767,Is there any effective solution to stop a bird from habitual plucking?,1,0,,CC BY-SA 3.0,13,,,
63,2,,2013-10-08T23:33:28.160,31,,53,,2013-10-08T23:33:28.160,,,2,,CC BY-SA 3.0,,,60,
64,1,138,2013-10-08T23:33:47.313,32,2167,57,,2013-10-24T17:16:05.743,How can I help my obese cat lose weight?,2,0,4,CC BY-SA 3.0,,,,
66,1,,2013-10-08T23:34:46.210,16,612,58,2013-10-30T03:20:06.920,2020-05-16T16:19:12.990,How can I protect a fish pond during the winter?,4,3,,CC BY-SA 3.0,129,,,
67,1,1072,2013-10-08T23:36:32.360,65,73561,48,2013-10-19T08:38:04.677,2021-01-13T01:11:54.127,How should I discipline my cat for bad behavior?,12,0,8,CC BY-SA 3.0,,,,
68,1,,2013-10-08T23:37:37.667,24,23687,,2014-10-20T19:42:40.113,2020-06-29T23:47:54.800,How can I safely pick up a garden snail?,8,1,1,CC BY-SA 3.0,224,,,
69,1,,2013-10-08T23:39:00.820,15,150,58,,2013-10-30T03:16:31.947,How should I feed sturgeons during winter?,1,1,,CC BY-SA 3.0,,,,
71,1,184,2013-10-08T23:40:30.567,11,164,29,2013-11-13T18:11:08.587,2013-11-13T18:11:08.587,Alternative seasonal allergy treatments for dogs,3,1,,CC BY-SA 3.0,129,,,
72,2,,2013-10-08T23:44:31.820,29,,32,2013-10-09T00:26:06.023,2013-10-09T00:26:06.023,,,1,,CC BY-SA 3.0,32,,67,
73,2,,2013-10-08T23:46:29.587,17,,58,2013-10-14T20:33:20.487,2013-10-14T20:33:20.487,,,0,,CC BY-SA 3.0,58,,68,
74,1,,2013-10-08T23:47:00.080,15,488,29,2020-05-19T23:34:19.173,2020-05-19T23:34:19.173,How much food should I be giving my dog to maintain his weight?,1,0,,CC BY-SA 4.0,17671,,,
75,1,76,2013-10-08T23:52:04.057,28,1394,29,2013-10-09T10:27:59.073,2013-10-09T12:27:22.263,How do I introduce our dog to a brand new baby,3,0,0,CC BY-SA 3.0,29,,,
76,2,,2013-10-09T00:03:39.537,21,,53,,2013-10-09T00:03:39.537,,,0,,CC BY-SA 3.0,,,75,
78,2,,2013-10-09T00:12:51.280,16,,52,,2013-10-09T00:12:51.280,,,0,,CC BY-SA 3.0,,,75,
79,2,,2013-10-09T00:16:20.690,20,,47,2017-04-13T12:59:16.063,2013-10-09T00:16:20.690,,,1,,CC BY-SA 3.0,-1,,18,
80,1,86,2013-10-09T00:19:00.920,11,3508,,2013-10-09T11:33:15.413,2018-10-29T16:15:00.173,Why does my dog howl at airplanes?,2,0,,CC BY-SA 3.0,75,,,
81,1,98,2013-10-09T00:19:32.877,18,3707,29,2021-01-01T19:41:41.797,2021-01-02T02:41:53.383,Is it safe for a dog to drink water from a stream?,2,0,,CC BY-SA 4.0,17671,,,
83,1,790,2013-10-09T00:24:21.187,27,1969,32,2013-10-22T03:19:06.770,2015-08-07T21:09:55.820,Recommendations for introducing kittens to adult cats,1,0,1,CC BY-SA 3.0,129,,,
84,2,,2013-10-09T00:29:17.790,5,,32,,2013-10-09T00:29:17.790,,,0,,CC BY-SA 3.0,,,80,
86,2,,2013-10-09T00:38:22.103,11,,47,2017-04-13T12:59:16.063,2013-10-09T00:38:22.103,,,0,,CC BY-SA 3.0,-1,,80,
87,2,,2013-10-09T00:46:12.220,19,,53,2013-10-16T19:08:03.900,2013-10-16T19:08:03.900,,,0,,CC BY-SA 3.0,129,,42,
88,5,,2013-10-09T00:49:18.757,0,,-1,2013-10-09T00:49:18.757,2013-10-09T00:49:18.757,,,0,,CC BY-SA 3.0,-1,,,
89,4,,2013-10-09T00:49:18.757,0,,58,2013-10-09T11:35:01.293,2013-10-09T11:35:01.293,,,0,,CC BY-SA 3.0,58,,,
90,1,,2013-10-09T00:54:19.710,16,175,68,2015-04-30T18:08:43.783,2018-01-01T23:26:12.550,Whether and how to minimise physical activity of female dog immediately following desexing operation?,2,0,,CC BY-SA 3.0,628,,,
91,1,126,2013-10-09T00:55:34.547,15,930,66,2013-11-01T16:35:42.017,2020-05-20T23:07:31.733,How to remove the algae from the glass of an aquarium?,4,0,,CC BY-SA 3.0,258,,,
92,1,,2013-10-09T01:00:09.753,23,6210,69,2014-02-18T15:21:11.513,2017-09-02T22:49:49.630,Why do cats love sleeping on cardboard?,1,4,1,CC BY-SA 3.0,129,,,
93,1,121,2013-10-09T01:00:10.387,23,2629,66,2013-11-15T19:45:25.607,2020-05-16T00:42:30.090,How can I permanently reduce the pH level of my aquarium?,2,0,2,CC BY-SA 3.0,129,,,
94,1,,2013-10-09T01:00:39.647,26,559,68,,2014-02-14T09:17:54.807,How to train a dog to poo in a particular part of the garden?,2,0,1,CC BY-SA 3.0,,,,
95,1,124,2013-10-09T01:05:11.057,19,29240,66,2013-10-31T12:49:06.753,2018-07-11T21:36:34.880,What is the maximum proportion of fish per liter in an aquarium?,4,3,,CC BY-SA 3.0,129,,,
96,2,,2013-10-09T01:05:22.467,6,,16,,2013-10-09T01:05:22.467,,,1,,CC BY-SA 3.0,,,48,
97,2,,2013-10-09T01:07:05.797,6,,58,2013-10-30T02:59:36.243,2013-10-30T02:59:36.243,,,0,,CC BY-SA 3.0,129,,91,
98,2,,2013-10-09T01:07:38.677,12,,29,2021-01-01T19:46:16.153,2021-01-01T19:46:16.153,,,0,,CC BY-SA 4.0,17671,,81,
99,1,123,2013-10-09T01:09:03.747,14,2684,66,2013-12-07T14:14:47.347,2020-05-22T17:47:07.697,Which fishes can live together with neons?,4,1,,CC BY-SA 3.0,258,,,
100,2,,2013-10-09T01:09:42.113,15,,52,2020-06-17T09:57:47.670,2013-10-30T02:50:36.813,,,3,,CC BY-SA 3.0,-1,,92,
101,2,,2013-10-09T01:11:46.250,8,,59,,2013-10-09T01:11:46.250,,,0,,CC BY-SA 3.0,,,2,
102,2,,2013-10-09T01:13:34.123,9,,16,2020-05-20T23:07:31.733,2020-05-20T23:07:31.733,,,0,,CC BY-SA 4.0,17671,,91,
104,2,,2013-10-09T01:19:14.580,17,,29,,2013-10-09T01:19:14.580,,,0,,CC BY-SA 3.0,,,94,
105,1,106,2013-10-09T01:25:45.980,18,1821,57,2014-06-05T17:38:38.973,2014-06-06T20:43:58.003,Can an adult feral cat be socialized/domesticated?,2,0,,CC BY-SA 3.0,224,,,
106,2,,2013-10-09T01:36:20.610,14,,32,,2013-10-09T01:36:20.610,,,2,,CC BY-SA 3.0,,,105,
107,1,,2013-10-09T01:52:58.810,14,1344,57,2016-03-19T09:00:17.733,2017-09-07T23:28:40.630,How can I get rid of fleas without dangerous chemicals?,4,1,,CC BY-SA 3.0,13,,,
108,2,,2013-10-09T01:55:59.330,1,,44,2013-12-01T08:15:43.520,2013-12-01T08:15:43.520,,,3,,CC BY-SA 3.0,,,43,
110,1,112,2013-10-09T02:18:37.950,15,23974,74,2013-10-30T05:28:12.437,2018-03-29T07:39:45.490,Is it safe for my cat to lick my skin when it has lotion on it?,2,1,,CC BY-SA 3.0,129,,,
111,2,,2013-10-09T02:23:31.023,22,,57,2020-06-17T09:57:47.670,2013-10-09T14:26:45.260,,,1,,CC BY-SA 3.0,-1,,17,
112,2,,2013-10-09T02:36:52.430,10,,53,,2013-10-09T02:36:52.430,,,1,,CC BY-SA 3.0,,,110,
113,1,115,2013-10-09T02:48:07.677,16,31616,57,2013-10-09T02:50:08.343,2014-06-08T15:09:07.020,Why does my cat hold his tail forward over his body?,1,2,2,CC BY-SA 3.0,52,,,
114,1,,2013-10-09T02:51:06.493,33,3263,77,,2021-01-31T04:48:34.093,How to prevent my dog from barking constantly when I am not at home?,8,2,3,CC BY-SA 3.0,,,,
115,2,,2013-10-09T02:55:41.150,17,,53,,2013-10-09T02:55:41.150,,,1,,CC BY-SA 3.0,,,113,
116,1,1075,2013-10-09T02:57:54.977,14,481,31,,2013-10-31T01:12:09.333,Cats and string: will a toy make this better or worse?,2,4,,CC BY-SA 3.0,,,,
117,2,,2013-10-09T03:09:22.530,4,,32,,2013-10-09T03:09:22.530,,,1,,CC BY-SA 3.0,,,116,
118,2,,2013-10-09T03:09:45.297,6,,52,,2013-10-09T03:09:45.297,,,0,,CC BY-SA 3.0,,,107,
119,2,,2013-10-09T03:14:19.023,15,,32,,2013-10-09T03:14:19.023,,,0,,CC BY-SA 3.0,,,114,
120,1,247,2013-10-09T03:14:31.087,73,308662,53,2014-10-22T19:19:00.890,2017-10-23T19:58:43.540,Why does my cat keep patting my face?,1,4,5,CC BY-SA 3.0,224,,,
121,2,,2013-10-09T03:33:48.603,18,,80,2020-05-16T00:42:30.090,2020-05-16T00:42:30.090,,,0,,CC BY-SA 4.0,17671,,93,
122,1,,2013-10-09T03:36:07.933,17,460,79,2018-03-10T11:02:25.407,2020-05-22T20:36:36.417,How does one stop a New Zealand rabbit from leaving droppings in the house?,2,2,,CC BY-SA 3.0,13,,,
123,2,,2013-10-09T03:41:46.523,12,,80,2020-05-22T17:39:00.123,2020-05-22T17:39:00.123,,,0,,CC BY-SA 4.0,17671,,99,
124,2,,2013-10-09T03:49:41.817,11,,7,2013-10-09T13:07:00.263,2013-10-09T13:07:00.263,,,0,,CC BY-SA 3.0,7,,95,
125,2,,2013-10-09T03:54:01.167,7,,80,,2013-10-09T03:54:01.167,,,0,,CC BY-SA 3.0,,,95,
126,2,,2013-10-09T04:00:10.053,12,,80,2013-10-30T02:57:27.933,2013-10-30T02:57:27.933,,,1,,CC BY-SA 3.0,129,,91,
127,2,,2013-10-09T04:14:03.490,4,,53,,2013-10-09T04:14:03.490,,,1,,CC BY-SA 3.0,,,71,
128,2,,2013-10-09T04:29:53.877,11,,85,,2013-10-09T04:29:53.877,,,0,,CC BY-SA 3.0,,,94,
129,2,,2013-10-09T04:38:11.827,19,,85,2020-05-23T14:14:47.623,2020-05-23T14:14:47.623,,,1,,CC BY-SA 4.0,17671,,114,
130,1,,2013-10-09T04:42:44.680,16,3103,88,2013-10-30T19:13:59.523,2013-11-01T19:21:24.273,How can I train my guinea pigs to not attack one another?,2,1,,CC BY-SA 3.0,,,,
131,2,,2013-10-09T04:44:56.817,4,,85,2021-01-02T02:41:53.383,2021-01-02T02:41:53.383,,,0,,CC BY-SA 4.0,85,,81,
133,2,,2013-10-09T04:55:11.453,8,,,2013-11-25T03:45:56.957,2013-11-25T03:45:56.957,,,2,,CC BY-SA 3.0,,,122,
134,1,157,2013-10-09T05:00:31.757,24,44507,,2014-03-14T10:42:15.430,2017-11-01T08:18:34.063,What is the optimal age to neuter a male dog?,5,1,,CC BY-SA 3.0,469,,,
135,1,172,2013-10-09T05:04:46.480,11,201,,2013-10-09T08:55:47.747,2013-10-09T10:18:20.833,"How much to feed outdoor goldfish, that feed on insects?",1,0,,CC BY-SA 3.0,58,,,
136,1,684,2013-10-09T05:07:49.867,16,1137,,2013-10-17T06:09:53.137,2014-08-22T01:49:16.757,How should I trim the wings of my bird?,2,0,,CC BY-SA 3.0,129,,,
137,1,,2013-10-09T05:26:50.070,18,217,18,2013-10-30T05:32:46.133,2013-11-07T19:02:47.983,Are there any health or behavioral issues specific to tripod (3-legged) dogs?,1,0,1,CC BY-SA 3.0,129,,,
138,2,,2013-10-09T05:37:05.337,19,,18,,2013-10-09T05:37:05.337,,,0,,CC BY-SA 3.0,,,64,
139,2,,2013-10-09T05:42:14.937,9,,89,,2013-10-09T05:42:14.937,,,0,,CC BY-SA 3.0,,,114,
140,1,,2013-10-09T05:48:55.740,11,1914,89,2013-10-12T16:00:57.737,2018-03-13T16:35:23.193,Why should I not give water or food to a wounded bird?,2,0,,CC BY-SA 3.0,129,,,
141,1,156,2013-10-09T05:58:41.263,18,17232,90,2018-10-21T02:47:30.800,2018-10-21T02:47:30.800,What can I do if my puppy is hyperactive?,3,1,,CC BY-SA 3.0,9258,,,
143,2,,2013-10-09T06:08:17.183,10,,89,,2013-10-09T06:08:17.183,,,0,,CC BY-SA 3.0,,,140,
144,2,,2013-10-09T06:35:05.133,3,,18,,2013-10-09T06:35:05.133,,,1,,CC BY-SA 3.0,,,48,
145,1,928,2013-10-09T06:56:22.017,9,3244,,2015-05-01T14:55:38.547,2015-05-01T14:55:38.547,"How can I safely leave my 3 pets overnight, unsupervised?",3,2,1,CC BY-SA 3.0,481,2013-10-24T14:54:42.733,,
146,2,,2013-10-09T06:58:52.540,4,,14,,2013-10-09T06:58:52.540,,,0,,CC BY-SA 3.0,,,134,
147,1,167,2013-10-09T07:02:50.470,11,226,,2014-10-28T14:02:40.967,2019-11-22T07:22:53.607,Do my horses need to be shod?,2,0,,CC BY-SA 3.0,224,,,
148,2,,2013-10-09T07:10:26.993,10,,14,,2013-10-09T07:10:26.993,,,0,,CC BY-SA 3.0,,,141,
151,1,596,2013-10-09T07:23:03.107,17,1419,,2013-11-13T04:13:03.437,2013-11-13T04:13:03.437,How hard will it be to train my parrot to talk?,2,4,,CC BY-SA 3.0,,,,
154,2,,2013-10-09T07:32:57.463,3,,,2020-06-17T09:57:47.670,2013-10-09T07:32:57.463,,,2,,CC BY-SA 3.0,-1,,107,
155,1,163,2013-10-09T07:37:32.540,10,725,91,2013-10-30T05:35:22.697,2020-01-28T15:57:09.817,"Is a French Mastiff dog less friendly, does it prefer fewer people around?",1,0,2,CC BY-SA 3.0,129,,,
156,2,,2013-10-09T07:37:33.413,14,,93,2014-12-03T01:17:03.590,2014-12-03T01:17:03.590,,,0,,CC BY-SA 3.0,376,,141,
157,2,,2013-10-09T07:48:04.370,4,,93,,2013-10-09T07:48:04.370,,,0,,CC BY-SA 3.0,,,134,
158,1,597,2013-10-09T07:51:42.203,38,41843,3,2017-09-20T14:45:59.937,2017-09-20T14:45:59.937,How to introduce my aggressive dog to other canines?,1,4,5,CC BY-SA 3.0,398,,,
159,2,,2013-10-09T08:07:18.230,7,,91,2013-10-10T19:22:42.253,2013-10-10T19:22:42.253,,,2,,CC BY-SA 3.0,91,,114,
160,2,,2013-10-09T08:33:39.027,4,,90,2014-02-24T06:43:01.187,2014-02-24T06:43:01.187,,,0,,CC BY-SA 3.0,90,,134,
161,5,,2013-10-09T08:44:23.003,0,,93,2014-03-10T14:16:33.127,2014-03-10T14:16:33.127,,,0,,CC BY-SA 3.0,32,,,
162,4,,2013-10-09T08:44:23.003,0,,93,2013-10-17T14:08:02.433,2013-10-17T14:08:02.433,,,0,,CC BY-SA 3.0,57,,,
163,2,,2013-10-09T08:52:12.280,5,,85,2020-06-17T09:57:47.670,2020-01-28T15:57:09.817,,,1,,CC BY-SA 4.0,-1,,155,
164,2,,2013-10-09T09:11:44.600,5,,,,2013-10-09T09:11:44.600,,,1,,CC BY-SA 3.0,,,151,
165,1,171,2013-10-09T09:16:36.217,14,204,,2013-10-09T09:43:20.003,2014-02-14T09:37:43.313,How would I socialise my puppy with other animals and people?,3,0,,CC BY-SA 3.0,,,,
166,1,562,2013-10-09T09:18:57.527,15,155,,2015-06-11T19:12:31.577,2015-06-11T19:12:31.577,Is hand feeding my horses hay enough to supplement their feed if my grass is not enough to sustain them?,2,0,0,CC BY-SA 3.0,3754,,,
167,2,,2013-10-09T09:23:26.727,9,,85,2013-10-09T12:06:48.270,2013-10-09T12:06:48.270,,,0,,CC BY-SA 3.0,85,,147,
168,2,,2013-10-09T09:36:50.830,3,,85,2013-10-09T11:58:46.120,2013-10-09T11:58:46.120,,,1,,CC BY-SA 3.0,85,,165,
169,2,,2013-10-09T10:03:15.187,8,,58,,2013-10-09T10:03:15.187,,,3,,CC BY-SA 3.0,,,136,
170,1,568,2013-10-09T10:06:35.873,13,373,95,2015-04-29T09:31:05.263,2015-04-29T09:31:05.263,Is there a substrate for a Redfoot tortoise that won't retain excess moisture?,1,0,,CC BY-SA 3.0,628,,,
171,2,,2013-10-09T10:11:19.867,9,,3,,2013-10-09T10:11:19.867,,,0,,CC BY-SA 3.0,,,165,
172,2,,2013-10-09T10:18:20.833,6,,58,,2013-10-09T10:18:20.833,,,0,,CC BY-SA 3.0,,,135,
173,1,322,2013-10-09T10:33:24.213,26,21151,75,2014-10-22T19:19:54.537,2020-05-30T19:59:20.310,Why does my cat wash her paws in her water?,3,2,1,CC BY-SA 3.0,224,,,
174,1,195,2013-10-09T10:37:12.870,12,246,91,2015-06-03T04:39:17.477,2015-06-03T04:39:17.477,How can I manage excessive hair shedding from dogs?,1,0,1,CC BY-SA 3.0,129,,,
175,2,,2013-10-09T11:00:17.923,9,,13,2013-10-30T03:34:54.400,2013-10-30T03:34:54.400,,,0,,CC BY-SA 3.0,129,,48,
176,1,321,2013-10-09T11:08:00.710,15,3017,41,2013-10-09T16:20:34.600,2013-10-09T20:28:31.747,How to prevent my dog from bringing stuff into the house?,1,0,,CC BY-SA 3.0,41,,,
177,1,192,2013-10-09T11:18:01.467,1,17519,22,2013-12-20T12:29:08.470,2019-11-10T04:00:34.643,At what age can my dog be considered old?,3,4,,CC BY-SA 3.0,15,,,
178,2,,2013-10-09T11:18:01.467,6,,22,2013-11-25T12:03:49.177,2013-11-25T12:03:49.177,,,0,,CC BY-SA 3.0,,,177,
179,1,,2013-10-09T11:21:59.583,20,23583,41,2013-10-09T14:43:31.817,2018-07-30T08:40:31.490,How can I prevent my dog from digging in furniture?,4,8,,CC BY-SA 3.0,41,,,
